t,a/a0
1.795871221251666e-08,0.999802272574652
3.591742442503332e-08,0.999212921982981
5.3876136637549976e-08,0.998235844126175
7.183484885006663e-08,0.996874149588401
8.979356106258329e-08,0.995130654850074
1.0775227327509995e-07,0.993008045408026
1.257109854876166e-07,0.990508955776507
1.4366969770013327e-07,0.987636015664464
1.6162840991264994e-07,0.984391879286942
1.795871221251666e-07,0.980779245161739
1.9754583433768323e-07,0.976800870063296
2.155045465501999e-07,0.972459579156988
2.3346325876271657e-07,0.967758273512438
2.5142197097523325e-07,0.962699935747036
2.6938068318774987e-07,0.957287634292066
2.8733939540026654e-07,0.951524526616372
3.052981076127832e-07,0.94541386164249
3.232568198252999e-07,0.938958981524431
3.4121553203781655e-07,0.932163322911742
3.5917424425033317e-07,0.925030417793488
3.7713295646284984e-07,0.917563893993743
3.950916686753665e-07,0.90976747537421
4.1305038088788313e-07,0.901644981787748
4.310090931003998e-07,0.893200328817758
4.489678053129165e-07,0.884437527331611
4.6692651752543315e-07,0.87536068287114
4.848852297379498e-07,0.865973994899144
5.028439419504665e-07,0.856281755917677
5.208026541629831e-07,0.846288350471364
5.387613663754997e-07,0.835998254046951
5.567200785880164e-07,0.825416031878646
5.746787908005331e-07,0.814546337667464
5.926375030130497e-07,0.803393912221728
6.105962152255664e-07,0.791963582024901
6.285549274380831e-07,0.780260257736248
6.465136396505998e-07,0.768288932629139
6.644723518631164e-07,0.756054680971304
6.82431064075633e-07,0.743562656350897
7.003897762881497e-07,0.730818089951858
7.183484885006663e-07,0.717826288781721
7.36307200713183e-07,0.704592633854757
7.542659129256997e-07,0.691122578333116
7.722246251382164e-07,0.677421645628385
7.90183337350733e-07,0.663495427465867
8.081420495632496e-07,0.649349581913679
8.261007617757663e-07,0.634989831378664
8.440594739882829e-07,0.620421960570996
8.620181862007996e-07,0.605651814439239
8.799768984133163e-07,0.590685296077557
8.97935610625833e-07,0.575528364606678
9.158943228383496e-07,0.560187033030143
9.338530350508663e-07,0.544667366067331
9.51811747263383e-07,0.528975477964678
9.697704594758994e-07,0.513117530286471
9.877291716884162e-07,0.497099729686541
1.0056878839009328e-06,0.480928325662172
1.0236465961134493e-06,0.464609608291467
1.0416053083259661e-06,0.448149905955413
1.0595640205384827e-06,0.431555583045861
1.0775227327509995e-06,0.414833037660567
1.095481444963516e-06,0.397988699286495
1.1134401571760328e-06,0.381029026472471
1.1313988693885494e-06,0.363960504492347
1.1493575816010661e-06,0.346789642999737
1.1673162938135827e-06,0.329522973675437
1.1852750060260993e-06,0.312167047868574
1.203233718238616e-06,0.294728434232551
1.2211924304511326e-06,0.277213716356821
1.2391511426636494e-06,0.25962949039552
1.257109854876166e-06,0.241982362693974
1.2750685670886827e-06,0.224278947414082
1.2930272793011993e-06,0.206525864159567
1.310985991513716e-06,0.188729735602088
1.3289447037262327e-06,0.170897185109169
1.3469034159387492e-06,0.153034834374918
1.364862128151266e-06,0.135149301054492
1.3828208403637826e-06,0.11724719640324
1.4007795525762993e-06,0.099335122921467
1.418738264788816e-06,0.0814196720057445
1.4366969770013327e-06,0.0635074216076728
1.4546556892138493e-06,0.0456049339010165
1.4726144014263658e-06,0.0277187529580989
1.4905731136388826e-06,0.00985540243634902
1.5085318258513992e-06,-0.0079786167241191
1.526490538063916e-06,-0.0257768285910296
1.5444492502764325e-06,-0.0435327845177026
1.5624079624889493e-06,-0.0612400654072028
1.5803666747014658e-06,-0.0788922839620298
1.5983253869139824e-06,-0.096483086918524
1.6162840991264992e-06,-0.114006157265162
1.6342428113390158e-06,-0.131455216443926
1.6522015235515325e-06,-0.148824026533955
1.670160235764049e-06,-0.166106392416666
1.6881189479765659e-06,-0.183296163921588
1.7060776601890824e-06,-0.200387237952106
1.7240363724015992e-06,-0.217373560590387
1.7419950846141158e-06,-0.234249129180702
1.7599537968266324e-06,-0.251007994390435
1.7779125090391491e-06,-0.267644262248028
1.7958712212516657e-06,-0.284152096157152
1.8138299334641825e-06,-0.3005257188864
1.831788645676699e-06,-0.316759414533801
1.8497473578892158e-06,-0.332847530465472
1.8677060701017324e-06,-0.34878447922774
1.8856647823142492e-06,-0.364564740432073
1.9036234945267657e-06,-0.380182862612164
1.9215822067392823e-06,-0.39563346505255
1.939540918951799e-06,-0.410911239588122
1.957499631164316e-06,-0.426010952373931
1.9754583433768324e-06,-0.440927445624689
1.993417055589349e-06,-0.455655639323372
2.0113757678018656e-06,-0.47019053289837
2.029334480014382e-06,-0.484527206868605
2.047293192226899e-06,-0.498660824456089
2.0652519044394157e-06,-0.51258663316538
2.0832106166519322e-06,-0.52629996632943
2.101169328864449e-06,-0.539796244621299
2.119128041076966e-06,-0.553070977531277
2.1370867532894824e-06,-0.5661197648089
2.155045465501999e-06,-0.578938297869436
2.1730041777145155e-06,-0.591522361164362
2.190962889927032e-06,-0.603867833515417
2.208921602139549e-06,-0.615970689411812
2.2268803143520656e-06,-0.627827000270172
2.244839026564582e-06,-0.639432935656857
2.2627977387770987e-06,-0.650784764472251
2.2807564509896157e-06,-0.661878856096683
2.2987151632021323e-06,-0.672711681497622
2.316673875414649e-06,-0.683279814297825
2.3346325876271654e-06,-0.693579931804123
2.352591299839682e-06,-0.703608815996531
2.370550012052199e-06,-0.713363354477425
2.3885087242647156e-06,-0.722840541380485
2.406467436477232e-06,-0.732037478239187
2.4244261486897487e-06,-0.740951374814565
2.4423848609022657e-06,-0.749579549882061
2.4603435731147822e-06,-0.757919431977223
2.478302285327299e-06,-0.765968560100085
2.4962609975398154e-06,-0.773724584378037
2.514219709752332e-06,-0.781185266687026
2.532178421964849e-06,-0.78834848123096
2.5501371341773655e-06,-0.79521221507916
2.568095846389882e-06,-0.801774568661774
2.5860545586023986e-06,-0.808033756223034
2.6040132708149156e-06,-0.813988106232282
2.621971983027432e-06,-0.81963606175271
2.6399306952399487e-06,-0.824976180767742
2.6578894074524653e-06,-0.830007136465042
2.675848119664982e-06,-0.834727717478114
2.693806831877499e-06,-0.83913682808551
2.7117655440900154e-06,-0.84323348836763
2.729724256302532e-06,-0.84701683432117
2.7476829685150486e-06,-0.850486117931239
2.765641680727565e-06,-0.85364070720122
2.783600392940082e-06,-0.856480086140434
2.8015591051525987e-06,-0.859003854709704
2.8195178173651153e-06,-0.861211728724926
2.837476529577632e-06,-0.863103539718755
2.855435241790149e-06,-0.864679234760555
2.8733939540026654e-06,-0.865938876234744
2.891352666215182e-06,-0.866882641577724
2.9093113784276985e-06,-0.867510822973543
2.927270090640215e-06,-0.867823827008508
2.945228802852732e-06,-0.867822174284953
2.9631875150652486e-06,-0.867506498994368
2.981146227277765e-06,-0.866877548450152
2.9991049394902818e-06,-0.865936182580217
