y,	v_x
-0.00004457652303120357, -0.003538928210313458
0.00023774145616641904, -0.003538928210313458
0.0007280832095096583, 0.03185035389282104
0.001173848439821694, 0.07987866531850352
0.001708766716196137, 0.11400404448938317
0.0021545319465081725, 0.1607684529828109
0.002659732540861813, 0.19236602628918098
0.003209509658246657, 0.23154701718907988
0.003670133729569094, 0.26188068756319516
0.0042644873699851414, 0.29853387259858444
0.004739970282317979, 0.3313953488372092
0.005319465081723626, 0.3693124368048534
0.005720653789004458, 0.41228513650151666
0.006270430906389302, 0.43250758341759354
0.0067459138187221405, 0.4666329625884732
0.007295690936106984, 0.4969666329625885
0.007711738484398218, 0.5096056622851365
0.008291233283803864, 0.5437310414560161
0.008722139673105499, 0.551314459049545
0.009316493313521546, 0.5664812942366025
0.009777117384843983, 0.5715369059656218
0.010326894502228828, 0.5841759352881698
0.010757800891530462, 0.5652173913043478
0.011233283803863299, 0.5614256825075834
0.011887072808320952, 0.5462588473205258
0.012317979197622586, 0.5222446916076845
0.012897473997028232, 0.5058139534883721
0.013432392273402675, 0.47548028311425683
0.014115898959881131, 0.43882709807886755
0.014502228826151561, 0.4148129423660263
0.015096582466567608, 0.38321536905965614
0.015557206537890046, 0.3427704752275025
0.016017830609212483, 0.31117290192113245
0.016552748885586926, 0.2808392315470172
0.017043090638930166, 0.23281092012133464
0.017459138187221397, 0.1999494438827098
0.018008915304606243, 0.16456016177957533
0.018514115898959883, 0.12158746208291199
0.01900445765230312, 0.08493427704752271
0.01961367013372957, 0.041961577350859425
