x, y
0.00005943536404160476, -0.0022750252780586455
0.0006537890044576523, 0.030586450960566225
0.0012778603268945024, 0.07987866531850352
0.001887072808320951, 0.12664307381193124
0.002526002971768202, 0.17972699696663297
0.00300148588410104, 0.21890798786653182
0.0034026745913818724, 0.23660262891809908
0.003907875185735513, 0.2732558139534883
0.0042942050520059435, 0.29726996966632957
0.004843982169390788, 0.3364509605662285
0.005512630014858842, 0.3743680485338726
0.005913818722139674, 0.397118301314459
0.0064041604754829125, 0.42492416582406467
0.00686478454680535, 0.45146612740141556
0.007429420505200595, 0.48179979777553084
0.00786032689450223, 0.5020222446916076
0.008395245170876673, 0.5273003033367037
0.008915304606240715, 0.5386754297269969
0.009405646359583953, 0.5500505561172901
0.009970282317979199, 0.5601617795753285
0.01025260029717682, 0.557633973710819
0.010757800891530462, 0.5551061678463094
0.011352154531946509, 0.5462588473205258
0.01173848439821694, 0.5209807886754297
0.012258543833580982, 0.48432760364004046
0.012555720653789005, 0.4628412537917088
0.013060921248142645, 0.4236602628918099
0.013566121842496287, 0.384479271991911
0.014041604754829124, 0.33771486349848334
0.01460624071322437, 0.29474216380181995
0.015141158989598813, 0.2542972699696663
0.015661218424962854, 0.21638018200202225
0.016062407132243686, 0.18857431749241654
0.016567607726597326, 0.15950455005055608
0.017072808320950966, 0.12664307381193124
0.017444279346210997, 0.10010111223458035
0.018023774145616643, 0.07608695652173914
0.018454680534918277, 0.05333670374115268
0.018930163447251114, 0.034378159757330606
0.019286775631500743, 0.020475227502527782
