    time           f_x           f_y           f_z          f_xv         f_yv          f_zv         f_xp           f_yp          f_zp     
 0.0040000000  4.7921458199  16.8725682696 0.0000000000 0.6268092288 -0.0259338394 0.0000000000  4.1653365911  16.8985021090 0.0000000000 
 0.0106000000 -2.1161975134 -10.1711185955 0.0000000000 0.3482312781 -0.0241502158 0.0000000000 -2.4644287915 -10.1469683797 0.0000000000 
 0.0216000000  0.2353424130  -0.0297836111 0.0000000000 0.2304245850 -0.0153375676 0.0000000000  0.0049178279  -0.0144460435 0.0000000000 
 0.0320318156  0.2521950901   0.2332527550 0.0000000000 0.2006337259 -0.0123432366 0.0000000000  0.0515613642   0.2455959916 0.0000000000 
 0.0433477782  0.2047094019   0.0904776172 0.0000000000 0.1809724642 -0.0105869189 0.0000000000  0.0237369377   0.1010645361 0.0000000000 
 0.0552744499  0.1879909014   0.1123692403 0.0000000000 0.1645436762 -0.0092542443 0.0000000000  0.0234472252   0.1216234847 0.0000000000 
 0.0675591373  0.1742870664   0.1005736791 0.0000000000 0.1512288710 -0.0082903649 0.0000000000  0.0230581954   0.1088640440 0.0000000000 
 0.0800295628  0.1652090570   0.1288429854 0.0000000000 0.1405151538 -0.0074739815 0.0000000000  0.0246939031   0.1363169670 0.0000000000 
 0.0926062086  0.1556076851   0.1253761445 0.0000000000 0.1317742963 -0.0068159720 0.0000000000  0.0238333888   0.1321921164 0.0000000000 
 0.1052566877  0.1481926817   0.1263164722 0.0000000000 0.1245561223 -0.0063000512 0.0000000000  0.0236365595   0.1326165234 0.0000000000 
 0.1179705163  0.1401362852   0.1225808752 0.0000000000 0.1183274450 -0.0058246433 0.0000000000  0.0218088402   0.1284055186 0.0000000000 
 0.1307354434  0.1349693584   0.1277970557 0.0000000000 0.1129902151 -0.0054101517 0.0000000000  0.0219791433   0.1332072074 0.0000000000 
 0.1435421925  0.1300419147   0.1284265280 0.0000000000 0.1083539549 -0.0050513331 0.0000000000  0.0216879598   0.1334778611 0.0000000000 
 0.1563848104  0.1261206182   0.1312235829 0.0000000000 0.1042945444 -0.0047311616 0.0000000000  0.0218260738   0.1359547445 0.0000000000 
 0.1692570316  0.1226526513   0.1316595111 0.0000000000 0.1008298728 -0.0043736745 0.0000000000  0.0218227786   0.1360331856 0.0000000000 
 0.1764626973  0.1204184324   0.1326219757 0.0000000000 0.0989932970 -0.0042252636 0.0000000000  0.0214251354   0.1368472393 0.0000000000 
 0.1836768635  0.1184596979   0.1310290595 0.0000000000 0.0972595663 -0.0040880387 0.0000000000  0.0212001316   0.1351170982 0.0000000000 
 0.1908996080  0.1171169946   0.1352836308 0.0000000000 0.0956246661 -0.0039532533 0.0000000000  0.0214923284   0.1392368842 0.0000000000 
 0.1981304103  0.1155398808   0.1353668845 0.0000000000 0.0940768521 -0.0038265124 0.0000000000  0.0214630287   0.1391933969 0.0000000000 
 0.2053685707  0.1140231326   0.1322278479 0.0000000000 0.0926541617 -0.0036974772 0.0000000000  0.0213689709   0.1359253250 0.0000000000 
 0.2120559658  0.1123332861   0.1362829658 0.0000000000 0.0913524708 -0.0035885451 0.0000000000  0.0209808153   0.1398715110 0.0000000000 
 0.2187461988  0.1114517194   0.1346250582 0.0000000000 0.0901292841 -0.0034883505 0.0000000000  0.0213224353   0.1381134087 0.0000000000 
 0.2254389100  0.1103101846   0.1353573140 0.0000000000 0.0889606735 -0.0033918885 0.0000000000  0.0213495111   0.1387492024 0.0000000000 
 0.2321341524  0.1090354362   0.1370718016 0.0000000000 0.0878357510 -0.0032968991 0.0000000000  0.0211996851   0.1403687008 0.0000000000 
 0.2388313122  0.1079877701   0.1376152780 0.0000000000 0.0867893639 -0.0031860493 0.0000000000  0.0211984063   0.1408013273 0.0000000000 
