0.0338	0.0004609
0.9298	0.0004609
1.7533	0.0006584
2.7556	0.0009547
3.4701	0.0014815
3.9339	0.0019424
4.3611	0.0026008
4.6442	0.0034239
5.1423	0.0042469
5.4976	0.0049383
5.8898	0.0053992
6.3526	0.0060905
6.5644	0.0068148
6.992	0.0073745
7.3112	0.0081317
7.5235	0.0087572
7.7	0.0093498
7.9465	0.0103374
8.2656	0.0111276
8.5125	0.0120165
8.7595	0.0128724
9.1556	0.0124774
9.373	0.0119506
9.8053	0.0114568
10.0212	0.0112593
10.3446	0.0110947
10.7049	0.0106667
11.0304	0.0100082
11.3915	0.0094156
11.5726	0.0089877
11.9694	0.008428
12.2943	0.0079012
12.4404	0.0073086
12.7292	0.0068477
12.9466	0.006321
13.3422	0.0060247
13.8098	0.0056626
14.2419	0.0052016
14.6024	0.0047407
15.1781	0.0042469
15.8972	0.0037531
16.5078	0.0034568
17.3698	0.0030617
18.3756	0.0025679
19.2734	0.0021728
20.0276	0.0018436
