    time           f_x           f_y          f_z          f_xv         f_yv          f_zv         f_xp          f_yp          f_zp     
 0.0040000000  3.3187878945  0.0003874186 0.0000000000 0.6277416308 -0.0000100158 0.0000000000  2.6910462637  0.0003974344 0.0000000000 
 0.0106000000 -1.2227144859 -0.0002929306 0.0000000000 0.3498607379 -0.0000053996 0.0000000000 -1.5725752238 -0.0002875310 0.0000000000 
 0.0216000000  0.2410633267 -0.0019487069 0.0000000000 0.2314996070 -0.0000207915 0.0000000000  0.0095637197 -0.0019279154 0.0000000000 
 0.0337000000  0.2281759479  0.0028904921 0.0000000000 0.1955491944 -0.0000045514 0.0000000000  0.0326267535  0.0028950435 0.0000000000 
 0.0470100000  0.1910145515 -0.0023698344 0.0000000000 0.1739465613 -0.0000165112 0.0000000000  0.0170679902 -0.0023533232 0.0000000000 
 0.0616510000  0.1745876439  0.0003069125 0.0000000000 0.1565731827 -0.0000104477 0.0000000000  0.0180144612  0.0003173602 0.0000000000 
 0.0771725234  0.1593467674  0.0002584598 0.0000000000 0.1426265648 -0.0000081980 0.0000000000  0.0167202026  0.0002666579 0.0000000000 
 0.0929358145  0.1477898656 -0.0000650386 0.0000000000 0.1317306587 -0.0000052970 0.0000000000  0.0160592069 -0.0000597415 0.0000000000 
 0.1088377650  0.1385209560  0.0012606422 0.0000000000 0.1230234519 -0.0000019827 0.0000000000  0.0154975041  0.0012626249 0.0000000000 
 0.1248369735  0.1311052913 -0.0006402800 0.0000000000 0.1159469422 -0.0000026428 0.0000000000  0.0151583490 -0.0006376373 0.0000000000 
 0.1409254003  0.1244216612 -0.0009379519 0.0000000000 0.1099583999 -0.0000034385 0.0000000000  0.0144632613 -0.0009345134 0.0000000000 
 0.1570787597  0.1190607191  0.0009894139 0.0000000000 0.1048685444 -0.0000010864 0.0000000000  0.0141921747  0.0009905003 0.0000000000 
 0.1732881857  0.1144499879  0.0002474793 0.0000000000 0.1004817516 -0.0000004075 0.0000000000  0.0139682363  0.0002478868 0.0000000000 
 0.1895443820  0.1106440199 -0.0017917205 0.0000000000 0.0966645689 -0.0000044736 0.0000000000  0.0139794510 -0.0017872469 0.0000000000 
 0.2058435361  0.1072652280  0.0017376862 0.0000000000 0.0934256343  0.0000085691 0.0000000000  0.0138395936  0.0017291172 0.0000000000 
 0.2147154865  0.1052953516  0.0001581548 0.0000000000 0.0917541392  0.0000092636 0.0000000000  0.0135412124  0.0001488912 0.0000000000 
