y,	v_x
0.00494672754946728,	-0.00104058272632674
0.00508371385083714,	0.0457856399583767
0.00514459665144597,	0.0842872008324662
0.00525114155251142,	0.124869927159209
0.00531202435312024,	0.167533818938606
0.00544901065449011,	0.213319458896982
0.00558599695585997,	0.270551508844953
0.00578386605783866,	0.334027055150885
0.00593607305936073,	0.390218522372529
0.00613394216133942,	0.451612903225807
0.00643835616438356,	0.523413111342352
0.0067275494672755,	0.613943808532778
0.00706240487062405,	0.68054110301769
0.00724505327245053,	0.732570239334027
0.00756468797564688,	0.799167533818939
0.0078234398782344,	0.855359001040583
0.0082648401826484,	0.918834547346514
0.00867579908675799,	0.954214360041623
0.00917808219178082,	0.986472424557752
0.009558599695586,	1.00104058272633
0.00986301369863014,	0.998959417273673
0.0102283105022831,	0.995837669094693
0.0106392694063927,	0.978147762747138
0.0110502283105023,	0.942767950052029
0.0115068493150685,	0.890738813735692
0.0117351598173516,	0.842872008324662
0.0120091324200913,	0.807492195629553
0.0123439878234399,	0.735691987513007
0.0127397260273973,	0.662851196670135
0.0129984779299848,	0.607700312174818
0.0133485540334855,	0.517169614984391
0.0135920852359208,	0.464099895941727
0.0137747336377473,	0.414151925078044
0.0140334855403349,	0.356919875130073
0.0142313546423136,	0.290322580645161
0.0144596651445967,	0.211238293444329
0.0146118721461187,	0.143600416233091
0.0147640791476408,	0.0801248699271592
0.0149619482496195,	0.0104058272632674
