y,	v_x
0.0050380517503805,	-0.00207684319833853
0.0051902587519026,	0.148494288681205
0.0056925418569254,	0.319833852544133
0.0061187214611872,	0.472481827622015
0.0066057838660578,	0.583592938733126
0.0071080669710807,	0.699896157840083
0.0075190258751903,	0.807892004153686
0.0080060882800609,	0.875389408099689
0.0085083713850837,	0.931464174454829
0.0090258751902588,	0.973001038421599
0.009482496194825,	0.9865005192108
0.0100456621004566,	0.98546209761163
0.0104870624048706,	0.968847352024922
0.0109893455098935,	0.907580477673936
0.0114611872146119,	0.850467289719626
0.0119939117199391,	0.769470404984424
0.0126179604261796,	0.665628245067497
0.0131050228310502,	0.546209761163032
0.0136529680365297,	0.365524402907581
0.0141704718417047,	0.265835929387331
