t,T
0.45,19.8412
80.7,19.8362
161.94,19.8213
240.21,19.841
321.44,19.8558
399.7,19.9844
480.94,20.0586
565.14,20.2169
638.45,20.4098
722.65,20.6275
799.91,20.8699
880.14,21.1321
962.36,21.419
1042.59,21.7208
1121.84,22.0127
1203.06,22.3244
1279.33,22.6113
1359.56,22.8983
1440.79,23.2149
1523,23.5167
1598.28,23.8234
1681.48,24.1301
1756.77,24.4072
1840.96,24.6892
1922.19,24.9415
2000.44,25.2482
2079.68,25.5005
2158.93,25.7627
2238.17,26.0249
2321.38,26.2475
2399.64,26.5196
2482.84,26.7571
2562.09,27.0044
2644.31,27.2023
2723.55,27.4497
2802.8,27.6871
2881.05,27.9048
2965.26,28.0928
3041.53,28.3005
3121.77,28.5281
3202.01,28.7111
3282.24,28.8942
3365.46,29.0574
3441.73,29.2355
3521.97,29.4334
3607.16,29.6362
3682.45,29.7945
3760.71,29.9528
3847.88,30.111
3922.18,30.2891
4002.42,30.4425
