t,T
0,21.9401
29.32,21.9401
76.69,22.2558
106.45,22.0579
173.58,22.4425
219.2,22.1654
250.85,22.2046
258.84,21.9971
377.53,22.1045
450.78,22.0149
531.86,22.1523
565.56,22.0038
642.61,22.329
897.93,22.2178
1190.82,22.1555
1250.09,22.392
1315.46,22.2135
1602.32,22.4279
1667.51,22.7237
1701.19,22.5949
1742.7,22.7328
1774.51,22.3472
1859.33,23.0477
1988.04,22.8192
2023.55,23.1152
2075.11,22.8282
2160.08,23.1534
2247.23,22.9252
2357.76,23.6848
2474.61,23.4268
2595.2,23.7318
2632.86,23.5635
2844.44,23.9763
2913.62,24.2028
2988.89,24.0044
3024.35,24.4091
3099.59,24.3096
3160.83,24.5757
3236.02,24.5848
3273.54,24.8018
3366.68,24.4452
3396.21,24.8598
3443.79,24.6321
3463.43,25.0073
3511.01,24.7895
3528.74,24.9869
3562.43,24.8482
3594.02,25.0554
3663.27,25.0744
3665.17,25.272
3667.04,25.5684
3728.53,25.1825
3870.94,25.3687
3928.17,25.7732
3973.71,25.7036
4000,25.7036
