t,T
0,22.268
23.78,22.268
165.97,22.0549
243.21,22.1911
352.94,22.0904
452.48,22.5997
482.22,22.5974
614.58,23.1889
753.7,23.804
771.19,23.6918
791.15,23.6543
835.87,24.0646
861.65,23.9471
903.26,23.8772
1013.7,24.805
1114.53,25.5928
1166.9,25.5674
1318.77,26.1384
1465.64,26.7219
1612.35,27.7411
1669.77,27.5414
1769.14,28.4864
1821.52,28.4361
1898.74,28.622
1970.88,29.0445
2003.35,28.8948
2097.56,29.3293
2199.13,29.7525
2293.93,30.2159
2369.17,30.6835
2414.1,30.5337
2481.16,31.2052
2536.05,31.1175
2715.35,31.6633
2737.86,31.4639
2888.05,32.2069
3016.59,32.8054
3063.99,32.7178
3131.09,33.2897
3195.94,33.2393
3205.96,33.1022
3243.32,33.2139
3362.81,33.6981
3442.63,33.5728
3487.4,33.8711
3501.24,34
3570.43,34
3592.29,34
3641.03,34
3683.28,34
3738.29,34
3881.13,34
3899.83,34
3973.7,34
4000,34
