t,T
0,19.0804
579.53,19.0804
777.05,20.0585
832.07,19.9247
954.31,20.637
988.9,20.5504
1112.57,21.6155
1180.16,21.4737
1211.43,21.8419
1255.42,21.8101
1289.77,22.3508
1369.93,22.1854
1479.58,22.9762
1526.71,22.9444
1590.8,23.7357
1656.8,23.6488
1763.24,24.6044
1801,24.4236
1970.37,25.1119
2015.95,25.0331
2199.43,25.7761
2310.55,26.7944
2418.92,26.8011
2481.49,27.4827
2555.38,27.2937
2586.6,27.8031
2751.53,27.7544
2763.9,28.2796
2905.15,28.537
2959.92,29.0618
3065.18,29.0058
3124.71,29.4051
3189.16,29.2476
3200.04,29.5612
3309.97,29.5836
3391.46,30.0768
3443.41,29.7547
3501.24,30.4991
3570.43,30.2788
3592.29,30.6079
3641.03,30.482
3683.28,30.905
3738.29,30.7947
3881.13,31.0206
3899.83,31.4125
3973.7,31.2627
4000,31.2627
