t,T
-0.09,19.8387
81.04,19.8447
160.93,19.8445
240.81,19.8505
320.7,19.8503
403.08,19.85
479.22,19.8498
559.11,19.8496
637.74,19.8493
721.37,19.8428
805,19.8176
884.89,19.8424
963.52,19.8671
1037.17,19.8606
1123.29,19.8666
1203.17,19.8788
1280.56,19.9223
1361.69,19.9595
1435.33,19.978
1521.45,20.0276
1600.09,20.0399
1683.72,20.0833
1763.6,20.108
1843.48,20.1888
1915.87,20.2385
2009.48,20.3006
2084.37,20.3441
2160.5,20.4249
2245.37,20.4995
2321.51,20.5555
2402.64,20.5989
2481.27,20.7109
2559.9,20.7856
2641.02,20.8851
2722.15,20.9722
2802.03,21.0406
2880.66,21.1339
2964.28,21.2272
3039.16,21.3081
3121.54,21.4139
3202.66,21.4698
3282.54,21.5631
3362.42,21.6565
3442.3,21.756
3522.17,21.8619
3600.8,21.949
3681.93,22.0236
3760.56,22.1419
3841.68,22.2289
3919.06,22.3348
3998.94,22.4031
