t,T
0,19.1026
1474.77,19.1026
1502.93,19.3768
1589.39,19.1877
1721.05,19.8842
1790.19,19.7973
1871.9,19.718
1956.58,20.0465
2044.64,19.779
2115.07,20.4448
2231.19,20.7102
2377.13,21.0459
2512.07,21.4053
2582.65,21.6398
2686.45,21.2937
2708.25,21.7796
2835.54,21.6058
2866.78,22.0525
2928.13,21.7852
2951.53,22.2163
3088.12,22.3482
3152.35,22.7788
3207.29,22.8645
3287.44,22.7382
3350.21,22.8787
3357.95,23.1766
3508.64,23.4104
3593.52,23.237
3615.29,23.8249
3714.3,23.6592
3747.21,23.847
3797.48,23.823
3813.06,24.1443
3889.89,24.4807
3938.74,24.0647
3973.14,24.4799
4000,24.4799
