t,T
43.93,20.2613
63.6,20.0608
107.63,20.2218
120.22,20.0488
185.49,20.0447
213.78,20.2608
246.82,20.072
318.38,20.0168
411.15,20.158
477.16,20.6922
518.06,20.5389
547.91,20.8846
578.58,20.798
615.47,21.1842
698.67,21.4216
763.28,21.8349
801.05,21.5754
845.82,22.1254
896.95,21.9327
932.3,22.3688
957.47,22.2744
1139.78,23.7121
1191.69,23.5076
1223.12,23.8062
1292.88,23.9646
1319,24.3403
1385.06,24.2929
1421.2,24.6151
1484.08,24.9607
1554.83,25.1727
1614.54,25.7855
1699.46,25.8403
1760.73,26.626
1817.36,26.4451
1900.35,26.8319
1925.32,26.8069
1980.85,27.1676
2045.09,27.4178
2124.97,27.5299
2202.53,27.9214
2282.19,28.2405
2340.88,28.479
2397.46,28.8404
2436.79,28.7302
2487.06,29.406
2565.71,29.17
2598.69,29.6886
2748.09,29.6724
2823.99,30.2181
2861.65,30.0991
2927.31,30.4971
3010.62,30.9762
3076.68,30.866
3136.39,31.4081
3205.61,31.1879
3246.46,31.6121
3299.95,31.3998
3386.39,32.0833
3447.75,31.6823
3483.87,32.2716
3512.19,32.13
3537.33,32.4443
3559.36,32.2399
3609.66,32.562
3655.28,32.444
3675.69,32.8997
3768.48,32.7266
3816.45,32.8391
3872.26,32.907
3908.39,33.4649
3954,33.4412
3994.9,33.2132
