t,T
31.36,20.1355
88.01,19.6953
131.22,20.2138
171.36,19.7029
203.57,20.0329
237.4,19.8402
279.03,20.3706
327.82,19.891
388.35,20.1148
555.85,19.9572
672.97,20.4402
735.92,19.9173
789.35,20.4005
886.88,20.0741
960.76,20.4943
1055.93,20.1915
1085,20.435
1130.61,20.3877
1158.9,20.6666
1220.26,20.3364
1314.57,20.9137
1392.45,20.5127
1527.62,21.42
1607.06,21.1211
1646.15,21.5742
1671.12,21.4806
1704.81,21.5803
1723.56,21.3245
1749.73,21.7423
1813.42,21.449
1867.06,21.8231
1892.03,21.7606
1966.89,22.1284
2055.53,21.9098
2149.09,22.602
2281.71,22.5457
2305.47,22.8427
2396.37,22.9932
2483.78,23.06
2594.68,23.6736
2697.75,23.297
2784.88,23.8711
2836.42,23.5541
2901.76,24.1678
2951.32,23.8013
2990.91,24.326
3026.6,24.0684
3050.34,24.4644
3080.08,24.2465
3196.93,24.8898
3295.77,24.8453
3336.63,25.1753
3358.67,24.8923
3390.09,25.238
3421.56,25.0964
3446.7,25.3636
3487.59,25.2848
3531.6,25.5519
3556.77,25.5047
3600.82,25.3631
3647.96,25.8188
3754.91,25.677
3758.03,25.9442
3833.53,25.8025
3908.96,26.5411
3943.6,25.928
3987.61,26.3051
