delta0,Lb_r0
"0.052","48.228"
"0.076","40.365"
"0.101","37.459"
"0.151","31.097"
"0.175","29.538"
"0.200","28.529"
"0.250","28.593"
"0.300","30.952"
"0.351","32.331"
"0.400","32.028"
"0.450","30.776"
"0.500","29.677"
