    time           f_x           f_y           f_z          f_xv         f_yv          f_zv         f_xp           f_yp          f_zp     
 0.0040000000 16.3251217952  48.6389681641 0.0000000000 0.6172328936 -0.0793744315 0.0000000000 15.7078889016  48.7183425956 0.0000000000 
 0.0106000000 -9.0968638056 -29.2695144835 0.0000000000 0.3347086645 -0.0714639207 0.0000000000 -9.4315724700 -29.1980505628 0.0000000000 
 0.1847430963  0.1841693245   0.4452177063 0.0000000000 0.0889934421 -0.0109594771 0.0000000000  0.0951758823   0.4561771833 0.0000000000 
 0.1869857446  0.1617558588   0.3575835234 0.0000000000 0.0884718233 -0.0108734051 0.0000000000  0.0732840355   0.3684569285 0.0000000000 
 0.1892290308  0.1623536288   0.3622676657 0.0000000000 0.0879469832 -0.0107650218 0.0000000000  0.0744066456   0.3730326875 0.0000000000 
 0.1914211441  0.1902870970   0.4826356393 0.0000000000 0.0874393204 -0.0105865596 0.0000000000  0.1028477765   0.4932221989 0.0000000000 
 0.1936122466  0.1713283781   0.4068971942 0.0000000000 0.0868787119 -0.0104511179 0.0000000000  0.0844496662   0.4173483121 0.0000000000 
 0.1958035537  0.1528554317   0.3288544462 0.0000000000 0.0864030531 -0.0103955086 0.0000000000  0.0664523786   0.3392499548 0.0000000000 
 0.1979960795  0.1788798239   0.4480824502 0.0000000000 0.0858887390 -0.0102264803 0.0000000000  0.0929910849   0.4583089305 0.0000000000 
 0.2001882134  0.1783225700   0.4478360626 0.0000000000 0.0853847278 -0.0101000157 0.0000000000  0.0929378423   0.4579360783 0.0000000000 
 0.2023504148  0.1769701570   0.4381510923 0.0000000000 0.0849325689 -0.0099782522 0.0000000000  0.0920375880   0.4481293445 0.0000000000 
 0.2045115009  0.1351103005   0.2436250805 0.0000000000 0.0845573171 -0.0100009018 0.0000000000  0.0505529835   0.2536259823 0.0000000000 
 0.2066745440  0.2005296010   0.5932599649 0.0000000000 0.0839359125 -0.0097078477 0.0000000000  0.1165936885   0.6029678126 0.0000000000 
 0.2088364213  0.1544839056   0.2989121405 0.0000000000 0.0836813814 -0.0097240148 0.0000000000  0.0708025242   0.3086361553 0.0000000000 
 0.2109985676  0.1548616586   0.3013235736 0.0000000000 0.0834703904 -0.0097261534 0.0000000000  0.0713912683   0.3110497270 0.0000000000 
 0.2131607842  0.1576464179   0.3177422265 0.0000000000 0.0832814537 -0.0097003036 0.0000000000  0.0743649642   0.3274425301 0.0000000000 
 0.2153257215  0.2135787747   0.7121447789 0.0000000000 0.0822743039 -0.0092419825 0.0000000000  0.1313044708   0.7213867615 0.0000000000 
 0.2174886117  0.1725680398   0.5728935022 0.0000000000 0.0811910999 -0.0089311381 0.0000000000  0.0913769399   0.5818246403 0.0000000000 
 0.2196500055  0.1271549064   0.0801253204 0.0000000000 0.0815934019 -0.0092729161 0.0000000000  0.0455615045   0.0893982366 0.0000000000 
 0.2218132699  0.1763433045   0.4917625823 0.0000000000 0.0810692511 -0.0091188762 0.0000000000  0.0952740534   0.5008814585 0.0000000000 
 0.2239767358  0.1755958582   0.4913169005 0.0000000000 0.0804695553 -0.0089051175 0.0000000000  0.0951263029   0.5002220180 0.0000000000 
 0.2261393324  0.1741132836   0.4854813382 0.0000000000 0.0799036889 -0.0087904074 0.0000000000  0.0942095947   0.4942717456 0.0000000000 
 0.2283005697  0.1358855488   0.2271253712 0.0000000000 0.0799270628 -0.0089335405 0.0000000000  0.0559584860   0.2360589117 0.0000000000 
