    time           f_x           f_y          f_z          f_xv         f_yv          f_zv         f_xp          f_yp          f_zp     
 0.0040000000  3.8500361018 10.1555990276 0.0000000000 0.6274012224 -0.0156099705 0.0000000000  3.2226348793 10.1712089981 0.0000000000 
 0.0106000000 -1.5450448890 -6.1233893497 0.0000000000 0.3492703228 -0.0145263511 0.0000000000 -1.8943152119 -6.1088629986 0.0000000000 
 0.0216000000  0.2392880401 -0.0227017807 0.0000000000 0.2311387656 -0.0092353968 0.0000000000  0.0081492746 -0.0134663839 0.0000000000 
 0.0329560032  0.2374623058  0.1412037223 0.0000000000 0.1978723121 -0.0072888547 0.0000000000  0.0395899937  0.1484925770 0.0000000000 
 0.0453196088  0.1953127828  0.0476591706 0.0000000000 0.1771213058 -0.0062681548 0.0000000000  0.0181914770  0.0539273254 0.0000000000 
 0.0583653558  0.1822270336  0.0773754184 0.0000000000 0.1606108638 -0.0054437537 0.0000000000  0.0216161699  0.0828191721 0.0000000000 
 0.0717881694  0.1656021307  0.0573515644 0.0000000000 0.1473395987 -0.0048582854 0.0000000000  0.0182625320  0.0622098498 0.0000000000 
 0.0854254815  0.1564698700  0.0787501027 0.0000000000 0.1367580363 -0.0043606854 0.0000000000  0.0197118337  0.0831107881 0.0000000000 
 0.0991761238  0.1469335537  0.0761704308 0.0000000000 0.1281557420 -0.0039620480 0.0000000000  0.0187778117  0.0801324788 0.0000000000 
 0.1130062925  0.1388665600  0.0732995177 0.0000000000 0.1210576240 -0.0036545732 0.0000000000  0.0178089360  0.0769540909 0.0000000000 
 0.1269101663  0.1325911692  0.0766833464 0.0000000000 0.1149985411 -0.0033713249 0.0000000000  0.0175926281  0.0800546713 0.0000000000 
 0.1408694139  0.1265617161  0.0758267129 0.0000000000 0.1097903614 -0.0031234981 0.0000000000  0.0167713548  0.0789502110 0.0000000000 
 0.1548754484  0.1224206817  0.0762308445 0.0000000000 0.1053028291 -0.0029109925 0.0000000000  0.0171178525  0.0791418370 0.0000000000 
 0.1689222058  0.1180313373  0.0791955930 0.0000000000 0.1013552877 -0.0027194416 0.0000000000  0.0166760496  0.0819150345 0.0000000000 
 0.1830030688  0.1150857604  0.0800293164 0.0000000000 0.0979918669 -0.0024824754 0.0000000000  0.0170938935  0.0825117918 0.0000000000 
 0.1907719468  0.1124281350  0.0794401138 0.0000000000 0.0962247799 -0.0023928947 0.0000000000  0.0162033551  0.0818330084 0.0000000000 
 0.1985492774  0.1111790120  0.0808702294 0.0000000000 0.0945758688 -0.0023124685 0.0000000000  0.0166031432  0.0831826979 0.0000000000 
 0.2063348440  0.1095164055  0.0808764069 0.0000000000 0.0930198862 -0.0022367975 0.0000000000  0.0164965192  0.0831132044 0.0000000000 
 0.2141287696  0.1075501310  0.0800211985 0.0000000000 0.0915337272 -0.0021654983 0.0000000000  0.0160164038  0.0821866968 0.0000000000 
 0.2219300141  0.1070170604  0.0803418671 0.0000000000 0.0902110849 -0.0020516831 0.0000000000  0.0168059755  0.0823935502 0.0000000000 
 0.2297404599  0.1051727845  0.0825317000 0.0000000000 0.0888845905 -0.0019816409 0.0000000000  0.0162881941  0.0845133409 0.0000000000 
 0.2375578087  0.1038739914  0.0830082001 0.0000000000 0.0876194673 -0.0019168720 0.0000000000  0.0162545241  0.0849250722 0.0000000000 
 0.2453809812  0.1027541539  0.0830029533 0.0000000000 0.0864173180 -0.0018557724 0.0000000000  0.0163368359  0.0848587257 0.0000000000 
 0.2532100206  0.1014061613  0.0825243806 0.0000000000 0.0852670764 -0.0017984198 0.0000000000  0.0161390849  0.0843228004 0.0000000000 
 0.2610449107  0.1007547854  0.0834626662 0.0000000000 0.0842149185 -0.0017427427 0.0000000000  0.0165398669  0.0852054090 0.0000000000 
 0.2681417857  0.0996863700  0.0835649065 0.0000000000 0.0832730878 -0.0016961155 0.0000000000  0.0164132822  0.0852610220 0.0000000000 
 0.2752409338  0.0980852352  0.0851333277 0.0000000000 0.0823406260 -0.0016467339 0.0000000000  0.0157446092  0.0867800616 0.0000000000 
 0.2823421380  0.0981104158  0.0824279704 0.0000000000 0.0814827835 -0.0016037591 0.0000000000  0.0166276323  0.0840317296 0.0000000000 
 0.2894460439  0.0966188369  0.0855394991 0.0000000000 0.0806311592 -0.0015585309 0.0000000000  0.0159876777  0.0870980299 0.0000000000 
 0.2965521204  0.0963408802  0.0855013879 0.0000000000 0.0798372445 -0.0015053485 0.0000000000  0.0165036356  0.0870067364 0.0000000000 
 0.3036614832  0.0949804075  0.0851434293 0.0000000000 0.0790441178 -0.0014633521 0.0000000000  0.0159362896  0.0866067813 0.0000000000 
 0.3107730984  0.0949345955  0.0852569250 0.0000000000 0.0783024668 -0.0014256686 0.0000000000  0.0166321288  0.0866825936 0.0000000000 
 0.3178869667  0.0936514176  0.0856166716 0.0000000000 0.0775696896 -0.0013859068 0.0000000000  0.0160817280  0.0870025784 0.0000000000 
 0.3250028545  0.0932056700  0.0864512904 0.0000000000 0.0768651284 -0.0013480885 0.0000000000  0.0163405416  0.0877993788 0.0000000000 
 0.3321204851  0.0925940407  0.0864992090 0.0000000000 0.0761879129 -0.0013666993 0.0000000000  0.0164061277  0.0878659083 0.0000000000 
 0.3392403477  0.0917033243  0.0868069305 0.0000000000 0.0755236910 -0.0013310567 0.0000000000  0.0161796333  0.0881379873 0.0000000000 
 0.3463623299  0.0911569786  0.0858516761 0.0000000000 0.0748862689 -0.0012973837 0.0000000000  0.0162707097  0.0871490599 0.0000000000 
 0.3534859209  0.0907500951  0.0877630204 0.0000000000 0.0742736649 -0.0012624217 0.0000000000  0.0164764302  0.0890254421 0.0000000000 
 0.3606109009  0.0901007769  0.0876988388 0.0000000000 0.0736766117 -0.0012298555 0.0000000000  0.0164241652  0.0889286943 0.0000000000 
 0.3677373909  0.0894650187  0.0879969867 0.0000000000 0.0731517430 -0.0011975891 0.0000000000  0.0163132757  0.0891945759 0.0000000000 
 0.3744406174  0.0890476905  0.0876104091 0.0000000000 0.0726262048 -0.0011693907 0.0000000000  0.0164214857  0.0887797998 0.0000000000 
