    time           f_x           f_y           f_z          f_xv         f_yv          f_zv         f_xp           f_yp          f_zp     
 0.2412114711  0.1223816771   0.2438881312 0.0000000000 0.0839588283 -0.0055569368 0.0000000000  0.0384228488   0.2494450680 0.0000000000 
 0.2446625394  0.1234031441   0.2602096971 0.0000000000 0.0833899274 -0.0054631678 0.0000000000  0.0400132167   0.2656728649 0.0000000000 
 0.2481127155  0.1227769482   0.2600256969 0.0000000000 0.0828315954 -0.0053750150 0.0000000000  0.0399453527   0.2654007119 0.0000000000 
 0.2510742261  0.1215851323   0.2428594025 0.0000000000 0.0824300297 -0.0053468453 0.0000000000  0.0391551026   0.2482062478 0.0000000000 
 0.2540353236  0.1290759628   0.2968326853 0.0000000000 0.0820197520 -0.0051794127 0.0000000000  0.0470562109   0.3020120979 0.0000000000 
 0.2569956290  0.1248581993   0.2858800179 0.0000000000 0.0815568837 -0.0051332200 0.0000000000  0.0433013156   0.2910132379 0.0000000000 
 0.2599551225  0.1077779928   0.2369289776 0.0000000000 0.0810443588 -0.0050341919 0.0000000000  0.0267336340   0.2419631695 0.0000000000 
 0.2629137379  0.1170074558   0.2159750251 0.0000000000 0.0806250280 -0.0050605248 0.0000000000  0.0363824278   0.2210355499 0.0000000000 
 0.2657622071  0.1138977745   0.1907829292 0.0000000000 0.0803082716 -0.0050495407 0.0000000000  0.0335895029   0.1958324699 0.0000000000 
 0.2686137883  0.1153546934   0.1895523486 0.0000000000 0.0800591673 -0.0050509155 0.0000000000  0.0352955261   0.1946032640 0.0000000000 
 0.2714641900  0.1325664359   0.2560986480 0.0000000000 0.0798682768 -0.0049957287 0.0000000000  0.0526981591   0.2610943768 0.0000000000 
 0.2743134696  0.1252639426   0.3152902552 0.0000000000 0.0794782533 -0.0049129099 0.0000000000  0.0457856893   0.3202031651 0.0000000000 
 0.2771652184  0.1133838100   0.3767377274 0.0000000000 0.0786120215 -0.0046643325 0.0000000000  0.0347717886   0.3814020599 0.0000000000 
 0.2799376964  0.0943138987   0.0247169259 0.0000000000 0.0784679338 -0.0048312427 0.0000000000  0.0158459649   0.0295481686 0.0000000000 
 0.2827112421  0.1120119205   0.1745325931 0.0000000000 0.0782145449 -0.0047016670 0.0000000000  0.0337973755   0.1792342600 0.0000000000 
 0.2854925232  0.1338027710   0.4000425640 0.0000000000 0.0778708747 -0.0046238464 0.0000000000  0.0559318964   0.4046664104 0.0000000000 
 0.2882696501  0.1210864252   0.3260610995 0.0000000000 0.0774080498 -0.0044267397 0.0000000000  0.0436783754   0.3304878392 0.0000000000 
 0.2910438115  0.1064077597   0.2111245277 0.0000000000 0.0769816954 -0.0044693239 0.0000000000  0.0294260643   0.2155938516 0.0000000000 
 0.2938174489  0.1156932738   0.2538745517 0.0000000000 0.0766662678 -0.0044507669 0.0000000000  0.0390270060   0.2583253186 0.0000000000 
 0.2965849763  0.1175683302   0.2588674442 0.0000000000 0.0763708367 -0.0043471573 0.0000000000  0.0411974935   0.2632146015 0.0000000000 
 0.2993518409  0.1228849970   0.2930034463 0.0000000000 0.0760940491 -0.0043134481 0.0000000000  0.0467909479   0.2973168944 0.0000000000 
 0.3021186790  0.1217542800   0.2727404746 0.0000000000 0.0758797181 -0.0042785157 0.0000000000  0.0458745620   0.2770189903 0.0000000000 
 0.3048851635  0.1103739561   0.2555529450 0.0000000000 0.0755340553 -0.0042481848 0.0000000000  0.0348399007   0.2598011298 0.0000000000 
 0.3076514148  0.1154019915   0.2367297384 0.0000000000 0.0752799284 -0.0042076441 0.0000000000  0.0401220631   0.2409373825 0.0000000000 
 0.3104187677  0.1046096364   0.2501687875 0.0000000000 0.0747984994 -0.0041492519 0.0000000000  0.0298111370   0.2543180394 0.0000000000 
 0.3131882527  0.1166884024   0.2622660291 0.0000000000 0.0745491146 -0.0041020240 0.0000000000  0.0421392878   0.2663680532 0.0000000000 
 0.3159581446  0.1163797827   0.2621360254 0.0000000000 0.0743244720 -0.0040568395 0.0000000000  0.0420553107   0.2661928649 0.0000000000 
 0.3187277573  0.1160497736   0.2613847988 0.0000000000 0.0740417078 -0.0040549327 0.0000000000  0.0420080658   0.2654397315 0.0000000000 
 0.3214862783  0.1149859667   0.2612104009 0.0000000000 0.0738290584 -0.0039448524 0.0000000000  0.0411569082   0.2651552533 0.0000000000 
 0.3242475952  0.1078249671   0.2463162027 0.0000000000 0.0734595932 -0.0039065233 0.0000000000  0.0343653739   0.2502227259 0.0000000000 
 0.3270083958  0.1116368188   0.2673089896 0.0000000000 0.0731315250 -0.0038619837 0.0000000000  0.0385052938   0.2711709733 0.0000000000 
 0.3297696286  0.1066596308   0.2488885255 0.0000000000 0.0727838842 -0.0038213181 0.0000000000  0.0338757467   0.2527098436 0.0000000000 
 0.3325309167  0.1061450753   0.2486627029 0.0000000000 0.0724315367 -0.0038059377 0.0000000000  0.0337135386   0.2524686406 0.0000000000 
 0.3352921672  0.1084655844   0.2631908328 0.0000000000 0.0721520226 -0.0037481396 0.0000000000  0.0363135619   0.2669389724 0.0000000000 
 0.3380535209  0.1212552204   0.2900270319 0.0000000000 0.0719989698 -0.0037099074 0.0000000000  0.0492562507   0.2937369394 0.0000000000 
 0.3408137539  0.1052682508   0.2030412889 0.0000000000 0.0718295115 -0.0037363113 0.0000000000  0.0334387393   0.2067776002 0.0000000000 
 0.3435752355  0.1050590026   0.2031797373 0.0000000000 0.0716407030 -0.0037308438 0.0000000000  0.0334182995   0.2069105811 0.0000000000 
 0.3463376372  0.1145668282   0.2638249080 0.0000000000 0.0713504575 -0.0036626946 0.0000000000  0.0432163707   0.2674876027 0.0000000000 
 0.3490989938  0.1276951990   0.3824666920 0.0000000000 0.0711282654 -0.0035957157 0.0000000000  0.0565669335   0.3860624077 0.0000000000 
 0.3518586218  0.1055239609   0.2525419575 0.0000000000 0.0707519645 -0.0034900017 0.0000000000  0.0347719964   0.2560319592 0.0000000000 
 0.3546162336  0.1055185009   0.2446321870 0.0000000000 0.0705305035 -0.0034779604 0.0000000000  0.0349879974   0.2481101475 0.0000000000 
 0.3573733788  0.1030550337   0.2453830317 0.0000000000 0.0701102281 -0.0034529840 0.0000000000  0.0329448056   0.2488360157 0.0000000000 
 0.3601317893  0.1021097093   0.2559019343 0.0000000000 0.0697591187 -0.0033767523 0.0000000000  0.0323505906   0.2592786866 0.0000000000 
 0.3628915563  0.1279002035   0.3519983609 0.0000000000 0.0697387597 -0.0033150342 0.0000000000  0.0581614438   0.3553133951 0.0000000000 
 0.3656493120  0.0853976646   0.1249465757 0.0000000000 0.0694261209 -0.0033665212 0.0000000000  0.0159715437   0.1283130969 0.0000000000 
 0.3684092599  0.1214331118   0.3287429124 0.0000000000 0.0692567284 -0.0032799828 0.0000000000  0.0521763834   0.3320228952 0.0000000000 
 0.3711664177  0.1212152968   0.3286010163 0.0000000000 0.0690819172 -0.0032167590 0.0000000000  0.0521333796   0.3318177753 0.0000000000 
 0.3739236653  0.1010390220   0.1776226260 0.0000000000 0.0689793150 -0.0032626286 0.0000000000  0.0320597070   0.1808852546 0.0000000000 
 0.3766829489  0.1080649081   0.2372072543 0.0000000000 0.0688225903 -0.0031910536 0.0000000000  0.0392423178   0.2403983079 0.0000000000 
 0.3794462856  0.0928694296   0.2795627707 0.0000000000 0.0681561533 -0.0031490946 0.0000000000  0.0247132762   0.2827118653 0.0000000000 
 0.3822069695  0.1303283771   0.3138482509 0.0000000000 0.0683044054 -0.0031077159 0.0000000000  0.0620239717   0.3169559668 0.0000000000 
 0.3849663462  0.0933788784   0.2184905339 0.0000000000 0.0679182380 -0.0031038208 0.0000000000  0.0254606404   0.2215943547 0.0000000000 
 0.3877262191  0.0932139670   0.2206204805 0.0000000000 0.0675379962 -0.0030059005 0.0000000000  0.0256759708   0.2236263810 0.0000000000 
 0.3904875891  0.1212097586   0.3211389769 0.0000000000 0.0675502992 -0.0029797305 0.0000000000  0.0536594594   0.3241187074 0.0000000000 
 0.3932485225  0.1175706217   0.2812536442 0.0000000000 0.0674014770 -0.0029630195 0.0000000000  0.0501691447   0.2842166637 0.0000000000 
 0.3960081729  0.1145986280   0.2940462133 0.0000000000 0.0673053417 -0.0029275731 0.0000000000  0.0472932863   0.2969737864 0.0000000000 
 0.3987659559  0.0965010191   0.2212101594 0.0000000000 0.0669603003 -0.0029104974 0.0000000000  0.0295407188   0.2241206568 0.0000000000 
 0.4015236068  0.0865357931   0.2272715686 0.0000000000 0.0664631797 -0.0028349953 0.0000000000  0.0200726134   0.2301065639 0.0000000000 
 0.4042817440  0.1290184829   0.3841668035 0.0000000000 0.0663874103 -0.0027570579 0.0000000000  0.0626310725   0.3869238614 0.0000000000 
 0.4070386422  0.1239279834   0.3609357347 0.0000000000 0.0663206339 -0.0027204335 0.0000000000  0.0576073495   0.3636561682 0.0000000000 
 0.4097945452  0.1033004659   0.2649928170 0.0000000000 0.0660374460 -0.0026498479 0.0000000000  0.0372630199   0.2676426649 0.0000000000 
 0.4125515508  0.0877544548   0.1953637937 0.0000000000 0.0656927185 -0.0026771753 0.0000000000  0.0220617363   0.1980409690 0.0000000000 
 0.4153087242  0.0875504301   0.1909507232 0.0000000000 0.0653945031 -0.0027001158 0.0000000000  0.0221559270   0.1936508391 0.0000000000 
 0.4180670877  0.1089505010   0.2600722624 0.0000000000 0.0653153432 -0.0026671482 0.0000000000  0.0436351578   0.2627394107 0.0000000000 
 0.4208266561  0.1192427312   0.2766426816 0.0000000000 0.0654672837 -0.0026822533 0.0000000000  0.0537754475   0.2793249349 0.0000000000 
 0.4235857725  0.1138631463   0.2536842413 0.0000000000 0.0654252120 -0.0026145551 0.0000000000  0.0484379342   0.2562987964 0.0000000000 
 0.4263428394  0.0906635071   0.2771675310 0.0000000000 0.0649823728 -0.0025979631 0.0000000000  0.0256811343   0.2797654941 0.0000000000 
 0.4290992606  0.0920327492   0.2718768696 0.0000000000 0.0645212394 -0.0025062653 0.0000000000  0.0275115099   0.2743831350 0.0000000000 
 0.4318552995  0.1096760095   0.2352143511 0.0000000000 0.0645441945 -0.0024874687 0.0000000000  0.0451318150   0.2377018198 0.0000000000 
 0.4346118125  0.1114968142   0.2283203623 0.0000000000 0.0645724554 -0.0025068603 0.0000000000  0.0469243589   0.2308272226 0.0000000000 
 0.4373706196  0.0955130847   0.2562171323 0.0000000000 0.0642856666 -0.0024886471 0.0000000000  0.0312274181   0.2587057794 0.0000000000 
 0.4401261178  0.1263197071   0.3394962195 0.0000000000 0.0642918148 -0.0024565821 0.0000000000  0.0620278923   0.3419528016 0.0000000000 
 0.4428826814  0.1169133516   0.3212466860 0.0000000000 0.0642240135 -0.0023847976 0.0000000000  0.0526893381   0.3236314836 0.0000000000 
 0.4456377397  0.0722238422   0.1920923640 0.0000000000 0.0635669111 -0.0023619185 0.0000000000  0.0086569311   0.1944542825 0.0000000000 
 0.4483927375  0.1205738132   0.3378271519 0.0000000000 0.0634719301 -0.0022867076 0.0000000000  0.0571018832   0.3401138595 0.0000000000 
 0.4511507942  0.0978708574   0.2567843753 0.0000000000 0.0632915188 -0.0022878884 0.0000000000  0.0345793386   0.2590722637 0.0000000000 
 0.4539076725  0.1043530955   0.2719301741 0.0000000000 0.0631435828 -0.0022627617 0.0000000000  0.0412095126   0.2741929358 0.0000000000 
 0.4566634841  0.1041955780   0.2719051045 0.0000000000 0.0630034804 -0.0022502031 0.0000000000  0.0411920976   0.2741553076 0.0000000000 
 0.4594190740  0.1039836484   0.2718362999 0.0000000000 0.0628601751 -0.0022263970 0.0000000000  0.0411234733   0.2740626969 0.0000000000 
 0.4621744906  0.1008092464   0.2726073244 0.0000000000 0.0626569015 -0.0021848683 0.0000000000  0.0381523449   0.2747921927 0.0000000000 
 0.4649291281  0.1033842866   0.2725033769 0.0000000000 0.0625025897 -0.0021589106 0.0000000000  0.0408816969   0.2746622875 0.0000000000 
 0.4676832537  0.1032231343   0.2724837567 0.0000000000 0.0623577271 -0.0021362244 0.0000000000  0.0408654073   0.2746199811 0.0000000000 
 0.4704372788  0.1029834186   0.2723606379 0.0000000000 0.0621883981 -0.0021266147 0.0000000000  0.0407950206   0.2744872526 0.0000000000 
 0.4731911177  0.1027581116   0.2729472343 0.0000000000 0.0620291684 -0.0020985740 0.0000000000  0.0407289432   0.2750458083 0.0000000000 
 0.4759445301  0.0935197234   0.2672826567 0.0000000000 0.0617938874 -0.0020700146 0.0000000000  0.0317258361   0.2693526713 0.0000000000 
 0.4786968015  0.1300447054   0.3530100418 0.0000000000 0.0618987644 -0.0019994980 0.0000000000  0.0681459410   0.3550095398 0.0000000000 
 0.4814479537  0.0767737302   0.1855134748 0.0000000000 0.0615001798 -0.0020227574 0.0000000000  0.0152735505   0.1875362322 0.0000000000 
 0.4842018235  0.1076640652   0.2960879915 0.0000000000 0.0613593584 -0.0019883747 0.0000000000  0.0463047069   0.2980763662 0.0000000000 
 0.4869553682  0.1075370282   0.2960518649 0.0000000000 0.0612590776 -0.0019586894 0.0000000000  0.0462779506   0.2980105542 0.0000000000 
 0.4897085935  0.1071824395   0.2957594463 0.0000000000 0.0611509612 -0.0019285523 0.0000000000  0.0460314783   0.2976879986 0.0000000000 
 0.4924608692  0.1068926387   0.2956823712 0.0000000000 0.0610305123 -0.0018986564 0.0000000000  0.0458621264   0.2975810277 0.0000000000 
 0.4952113043  0.0834597609   0.2409653183 0.0000000000 0.0605680983 -0.0018644656 0.0000000000  0.0228916626   0.2428297838 0.0000000000 
 0.4979617009  0.1043254635   0.3009762326 0.0000000000 0.0604449781 -0.0018347913 0.0000000000  0.0438804854   0.3028110239 0.0000000000 
 0.5007073619  0.0920038654   0.2050096259 0.0000000000 0.0603395532 -0.0018907403 0.0000000000  0.0316643122   0.2069003662 0.0000000000 
 0.5034572924  0.1096439832   0.2937247799 0.0000000000 0.0603591093 -0.0018332572 0.0000000000  0.0492848739   0.2955580372 0.0000000000 
 0.5062078813  0.1096469321   0.2934767063 0.0000000000 0.0603640544 -0.0018175192 0.0000000000  0.0492828776   0.2952942256 0.0000000000 
 0.5089582127  0.1019290622   0.2586218153 0.0000000000 0.0602066386 -0.0018401656 0.0000000000  0.0417224236   0.2604619809 0.0000000000 
 0.5117053033  0.0678299227   0.1911053470 0.0000000000 0.0597288183 -0.0017868997 0.0000000000  0.0081011044   0.1928922468 0.0000000000 
 0.5144564428  0.1293618106   0.3763380416 0.0000000000 0.0598208715 -0.0017149367 0.0000000000  0.0695409391   0.3780529783 0.0000000000 
 0.5172058813  0.0878593410   0.1859066197 0.0000000000 0.0597551312 -0.0018053109 0.0000000000  0.0281042099   0.1877119306 0.0000000000 
 0.5199583520  0.1078349961   0.3903273791 0.0000000000 0.0593545032 -0.0016196184 0.0000000000  0.0484804929   0.3919469975 0.0000000000 
 0.5227090995  0.0985380890   0.2490183419 0.0000000000 0.0592726995 -0.0016380530 0.0000000000  0.0392653895   0.2506563949 0.0000000000 
 0.5254595565  0.0984830629   0.2489846318 0.0000000000 0.0592167332 -0.0016486366 0.0000000000  0.0392663298   0.2506332685 0.0000000000 
 0.5282100465  0.1020457876   0.3153385387 0.0000000000 0.0590074922 -0.0015752458 0.0000000000  0.0430382955   0.3169137845 0.0000000000 
 0.5309594649  0.0993599031   0.2696570515 0.0000000000 0.0588946545 -0.0015621634 0.0000000000  0.0404652486   0.2712192149 0.0000000000 
 0.5337083798  0.0992469101   0.2695921125 0.0000000000 0.0587918441 -0.0015503935 0.0000000000  0.0404550661   0.2711425060 0.0000000000 
 0.5364572562  0.0992006252   0.2698029716 0.0000000000 0.0586841802 -0.0015335846 0.0000000000  0.0405164450   0.2713365562 0.0000000000 
 0.5392058441  0.0991798488   0.2700648093 0.0000000000 0.0585633041 -0.0015142232 0.0000000000  0.0406165446   0.2715790325 0.0000000000 
 0.5419540217  0.0997484370   0.2813104133 0.0000000000 0.0584420786 -0.0014886885 0.0000000000  0.0413063584   0.2827991019 0.0000000000 
 0.5447021475  0.1000994800   0.3002397621 0.0000000000 0.0582151857 -0.0014342246 0.0000000000  0.0418842943   0.3016739868 0.0000000000 
 0.5474513927  0.0956801033   0.2538476476 0.0000000000 0.0581500875 -0.0014370027 0.0000000000  0.0375300158   0.2552846503 0.0000000000 
 0.5501977618  0.1059805676   0.3258968311 0.0000000000 0.0580074219 -0.0013738128 0.0000000000  0.0479731457   0.3272706439 0.0000000000 
 0.5529434226  0.1053937670   0.3199374054 0.0000000000 0.0578873126 -0.0013290097 0.0000000000  0.0475064544   0.3212664151 0.0000000000 
 0.5556879598  0.0867952265   0.1949824214 0.0000000000 0.0577812229 -0.0013904571 0.0000000000  0.0290140036   0.1963728785 0.0000000000 
 0.5584330640  0.1018663185   0.3144457306 0.0000000000 0.0576206321 -0.0013273958 0.0000000000  0.0442456864   0.3157731264 0.0000000000 
 0.5611776345  0.1019398615   0.2935515939 0.0000000000 0.0575118480 -0.0012970956 0.0000000000  0.0444280135   0.2948486895 0.0000000000 
 0.5639210884  0.0938532558   0.2662351461 0.0000000000 0.0573536481 -0.0012835422 0.0000000000  0.0364996077   0.2675186883 0.0000000000 
 0.5666648199  0.1008577433   0.2898141315 0.0000000000 0.0572567740 -0.0012546613 0.0000000000  0.0436009692   0.2910687929 0.0000000000 
 0.5694081920  0.0991408084   0.2839289079 0.0000000000 0.0571460869 -0.0012291140 0.0000000000  0.0419947215   0.2851580218 0.0000000000 
 0.5721513030  0.0984837624   0.2827408468 0.0000000000 0.0570098062 -0.0012080355 0.0000000000  0.0414739562   0.2839488823 0.0000000000 
 0.5748944137  0.0981353619   0.2810964126 0.0000000000 0.0569019321 -0.0011857848 0.0000000000  0.0412334299   0.2822821974 0.0000000000 
 0.5776371060  0.0966935570   0.2764741098 0.0000000000 0.0567806091 -0.0011705165 0.0000000000  0.0399129479   0.2776446262 0.0000000000 
 0.5803789978  0.0975328247   0.2758658910 0.0000000000 0.0566833660 -0.0011497093 0.0000000000  0.0408494587   0.2770156003 0.0000000000 
 0.5831210137  0.0985037169   0.2846508481 0.0000000000 0.0565689124 -0.0011224295 0.0000000000  0.0419348045   0.2857732776 0.0000000000 
 0.5858623360  0.0984121827   0.2845537590 0.0000000000 0.0564583865 -0.0011065467 0.0000000000  0.0419537962   0.2856603056 0.0000000000 
 0.5886037450  0.0987835656   0.2852287063 0.0000000000 0.0563759825 -0.0010895625 0.0000000000  0.0424075831   0.2863182689 0.0000000000 
 0.5913453746  0.1013101379   0.2946171452 0.0000000000 0.0562846518 -0.0010590431 0.0000000000  0.0450254861   0.2956761883 0.0000000000 
 0.5940856738  0.1008987282   0.2927745372 0.0000000000 0.0562204681 -0.0010361694 0.0000000000  0.0446782601   0.2938107066 0.0000000000 
 0.5968261969  0.0980463075   0.2853795490 0.0000000000 0.0560782082 -0.0010192644 0.0000000000  0.0419680993   0.2863988134 0.0000000000 
 0.5995676002  0.0926390359   0.2730476171 0.0000000000 0.0559134870 -0.0010019650 0.0000000000  0.0367255489   0.2740495821 0.0000000000 
 0.6023097175  0.0949901565   0.2773555121 0.0000000000 0.0557657573 -0.0009868237 0.0000000000  0.0392243992   0.2783423358 0.0000000000 
 0.6050515840  0.0948431826   0.2773748084 0.0000000000 0.0556271501 -0.0009622040 0.0000000000  0.0392160326   0.2783370124 0.0000000000 
 0.6077931734  0.0952500460   0.2793119280 0.0000000000 0.0555036823 -0.0009544502 0.0000000000  0.0397463637   0.2802663782 0.0000000000 
 0.6105348574  0.1047281789   0.3070395828 0.0000000000 0.0555278364 -0.0009433189 0.0000000000  0.0492003425   0.3079829017 0.0000000000 
 0.6132705745  0.0964963229   0.2837751885 0.0000000000 0.0554240881 -0.0009002717 0.0000000000  0.0410722348   0.2846754601 0.0000000000 
 0.6160068647  0.0951019907   0.2758206897 0.0000000000 0.0552629086 -0.0008809416 0.0000000000  0.0398390821   0.2767016314 0.0000000000 
 0.6187457126  0.1054631138   0.3250983414 0.0000000000 0.0552308657 -0.0008476938 0.0000000000  0.0502322481   0.3259460352 0.0000000000 
 0.6214843960  0.0877084533   0.2469117058 0.0000000000 0.0550545868 -0.0008443790 0.0000000000  0.0326538665   0.2477560848 0.0000000000 
 0.6242231720  0.0883304610   0.2493282197 0.0000000000 0.0548961647 -0.0008410561 0.0000000000  0.0334342963   0.2501692757 0.0000000000 
 0.6269620436  0.1134274625   0.3513672812 0.0000000000 0.0549216993 -0.0007757375 0.0000000000  0.0585057632   0.3521430187 0.0000000000 
 0.6297004984  0.0872473191   0.2589325505 0.0000000000 0.0547296188 -0.0007729721 0.0000000000  0.0325177003   0.2597055225 0.0000000000 
 0.6324388849  0.1012860612   0.2968020621 0.0000000000 0.0546889230 -0.0007568935 0.0000000000  0.0465971383   0.2975589556 0.0000000000 
 0.6351762544  0.1013406338   0.2966660585 0.0000000000 0.0546528340 -0.0007376630 0.0000000000  0.0466877997   0.2974037216 0.0000000000 
 0.6379128226  0.0976411489   0.2855129981 0.0000000000 0.0545489363 -0.0007385016 0.0000000000  0.0430922126   0.2862514997 0.0000000000 
 0.6406489684  0.0896704600   0.2809194881 0.0000000000 0.0543445839 -0.0007025545 0.0000000000  0.0353258761   0.2816220427 0.0000000000 
 0.6433847046  0.0984317404   0.2955192905 0.0000000000 0.0542266289 -0.0006743569 0.0000000000  0.0442051115   0.2961936474 0.0000000000 
 0.6461204043  0.0934596366   0.2818154312 0.0000000000 0.0541143704 -0.0006581257 0.0000000000  0.0393452662   0.2824735570 0.0000000000 
 0.6488557619  0.0972150321   0.2915401259 0.0000000000 0.0540386084 -0.0006401459 0.0000000000  0.0431764237   0.2921802717 0.0000000000 
 0.6515903402  0.0955969574   0.2793726351 0.0000000000 0.0539718854 -0.0006303807 0.0000000000  0.0416250721   0.2800030157 0.0000000000 
 0.6543247751  0.0955198134   0.2793560545 0.0000000000 0.0539021977 -0.0006212043 0.0000000000  0.0416176157   0.2799772588 0.0000000000 
 0.6570591303  0.0954797814   0.2800797153 0.0000000000 0.0538233525 -0.0006133878 0.0000000000  0.0416564289   0.2806931031 0.0000000000 
 0.6597929812  0.0976235756   0.2975138362 0.0000000000 0.0537303996 -0.0005962149 0.0000000000  0.0438931760   0.2981100511 0.0000000000 
 0.6625260634  0.0963757890   0.2967729622 0.0000000000 0.0535861118 -0.0005532456 0.0000000000  0.0427896772   0.2973262078 0.0000000000 
