Time (s)	H1 (m)	H2 (m)	H3 (m)	H4 (m)
0.0000219299528509964	0.000266666666666667	0.000533333333333333	0.0004	0.546666666666667
0.00102890562286451	0.0002	0.000533333333333333	0.0004	0.547666666666667
0.00201006140390447	0.0002	0.000533333333333333	0.0004	0.548533333333333
0.00301703707391798	0.0002	0.000533333333333333	0.0004	0.549266666666667
0.00402401274393238	0.0002	0.000533333333333333	0.0004	0.549933333333333
0.00503098841394589	0.0002	0.000533333333333333	0.0004	0.550466666666667
0.00601214419498497	0.0002	0.000533333333333333	0.0004	0.550933333333333
0.00701911986499848	0.0002	0.000533333333333333	0.0004	0.551133333333333
0.00802609553501288	0.0002	0.000533333333333333	0.0004	0.551133333333333
0.00903307120502639	0.0002	0.000533333333333333	0.000333333333333333	0.551
0.0100142269860664	0.0002	0.000533333333333333	0.0004	0.550666666666667
0.0110212026560799	0.0002	0.000533333333333333	0.0004	0.5502
0.0120281783260943	0.0002	0.000466666666666667	0.0004	0.5494
0.0130093341071333	0.0002	0.000466666666666667	0.0004	0.548466666666667
0.0140163097771469	0.000133333333333333	0.000533333333333333	0.0004	0.547333333333333
0.0150232854471612	0.000133333333333333	0.000466666666666667	0.0004	0.546
0.0160302611171748	0.0002	0.000466666666666667	0.0004	0.544733333333333
0.0170114168982147	0.0002	0.000466666666666667	0.0004	0.543666666666667
0.0180183925682282	0.000133333333333333	0.000466666666666667	0.0004	0.542866666666667
0.0190253682382417	0.000133333333333333	0.000466666666666667	0.0004	0.5426
0.0200323439082553	0.000133333333333333	0.000533333333333333	0.0004	0.542733333333333
0.0210134996892952	0.000133333333333333	0.000533333333333333	0.0004	0.543133333333333
0.0220204753593087	0.000133333333333333	0.000466666666666667	0.0004	0.543866666666667
0.0230274510293231	0.000133333333333333	0.000466666666666667	0.0004	0.544866666666667
0.0240344266993375	0.0002	0.000466666666666667	0.0004	0.545866666666667
0.0250155824803757	0.0002	0.000466666666666667	0.0004	0.546733333333333
0.0260225581503901	0.000133333333333333	0.000466666666666667	0.0004	0.5476
0.0270295338204036	0.000133333333333333	0.000533333333333333	0.0004	0.548266666666667
0.0280106896014436	0.0002	0.000466666666666667	0.0004	0.548733333333333
0.0290176652714571	0.0002	0.000466666666666667	0.0004	0.549
0.0300246409414715	0.0002	0.000466666666666667	0.0004	0.549
0.031031616611485	0.000133333333333333	0.000466666666666667	0.0004	0.548666666666667
0.0320127723925241	0.000133333333333333	0.000466666666666667	0.0004	0.5482
0.0330197480625376	0.000133333333333333	0.000533333333333333	0.0004	0.547533333333333
0.034026723732552	0.000133333333333333	0.000533333333333333	0.0004	0.546666666666667
0.0350336994025655	0.000133333333333333	0.000466666666666667	0.0004	0.545666666666667
0.0360148551836055	0.0002	0.000533333333333333	0.0004	0.544533333333333
0.0370218308536199	0.0002	0.000533333333333333	0.0004	0.5434
0.0380288065236325	0.000133333333333333	0.000533333333333333	0.0004	0.542466666666667
0.0390099623046725	0.000133333333333333	0.000533333333333333	0.0004	0.541666666666667
0.040016937974686	0.0002	0.000533333333333333	0.0004	0.541133333333333
0.0410239136447004	0.0002	0.000466666666666667	0.0004	0.5408
0.0420308893147139	0.0002	0.000466666666666667	0.0004	0.5406
0.0430120450957538	0.000133333333333333	0.000533333333333333	0.0004	0.540666666666667
0.0440190207657665	0.000133333333333333	0.000533333333333333	0.0004	0.540866666666667
0.0450259964357809	0.000133333333333333	0.000533333333333333	0.0004	0.540866666666667
0.0460329721057944	0.0002	0.000533333333333333	0.0004	0.541
0.0470141278868343	0.0002	0.000533333333333333	0.0004	0.541133333333333
0.0480211035568479	0.0002	0.000533333333333333	0.0004	0.541266666666667
0.0490280792268623	0.0002	0.000466666666666667	0.0004	0.541466666666667
0.0500092350079013	0.0002	0.000533333333333333	0.0004	0.541666666666667
0.0510162106779148	0.0002	0.000533333333333333	0.0004	0.541866666666667
0.0520231863479292	0.0002	0.000533333333333333	0.0004	0.541933333333333
0.0530301620179428	0.0002	0.000533333333333333	0.0004	0.542333333333333
0.0540113177989827	0.0002	0.000533333333333333	0.0004	0.542733333333333
0.0550182934689962	0.0002	0.000533333333333333	0.0004	0.543
0.0560252691390106	0.0002	0.000533333333333333	0.0004	0.543133333333333
0.0570322448090241	0.0002	0.000533333333333333	0.0004	0.5432
0.0580134005900632	0.0002	0.000533333333333333	0.0004	0.543
0.0590203762600767	0.0002	0.000466666666666667	0.0004	0.542533333333333
0.0600273519300911	0.0002	0.000466666666666667	0.0004	0.541933333333333
0.0610343276001055	0.0002	0.000466666666666667	0.0004	0.5414
0.0620154833811446	0.0002	0.000466666666666667	0.0004	0.5406
0.063022459051159	0.0002	0.000466666666666667	0.0004	0.539933333333333
0.0640294347211716	0.0002	0.000533333333333333	0.0004	0.5392
0.0650105905022116	0.0002	0.000533333333333333	0.0004	0.538466666666667
0.0660175661722251	0.000133333333333333	0.000533333333333333	0.0004	0.537933333333333
0.0670245418422395	0.000133333333333333	0.000533333333333333	0.0004	0.537533333333333
0.068031517512253	0.000133333333333333	0.000533333333333333	0.0004	0.5372
0.0690126732932921	0.000133333333333333	0.000533333333333333	0.0004	0.537
0.0700196489633056	0.000133333333333333	0.000533333333333333	0.0004	0.5372
0.07102662463332	0.0002	0.000533333333333333	0.0004	0.537466666666667
0.0720336003033335	0.0002	0.000533333333333333	0.0004	0.537866666666667
0.0730147560843735	0.0002	0.000533333333333333	0.0004	0.538333333333333
0.0740217317543879	0.0002	0.000533333333333333	0.0004	0.538933333333333
0.0750287074244014	0.0002	0.000533333333333333	0.0004	0.539533333333333
