particle_id,diameter,mass,boundary_id,start_time,end_time,start_particle_velocity_x,start_particle_velocity_y,start_particle_velocity_z,start_particle_angular_velocity_x,start_particle_angular_velocity_y,start_particle_angular_velocity_z,end_particle_velocity_x,end_particle_velocity_y,end_particle_velocity_z,end_particle_angular_velocity_x,end_particle_angular_velocity_y,end_particle_angular_velocity_z
23,2.5e-05,1.45708e-11,2,3.09818,3.09819,1.10609,-0.230397,1.74934,-596.442,-2253.66,0,0.788644,-0.164755,-1.57426,-13694,-65575.2,0
13,2.5e-05,1.45708e-11,2,3.09841,3.09841,-1.06776,-0.854617,1.73252,-1797.61,2127.62,0,-0.724829,-0.580546,-1.55921,-56476.9,70539.7,0
25,2.5e-05,1.45708e-11,2,3.09841,3.09841,-0.985188,0.388602,1.74546,604.904,2170.72,0,-0.716599,0.281766,-1.56929,21906.7,55731.9,0
19,2.5e-05,1.45708e-11,2,3.09843,3.09844,-0.989466,-0.232082,1.71906,-622.241,2065.72,0,-0.724486,-0.170418,-1.54647,-12923,54907.6,0
4,5e-05,1.16566e-10,2,3.09843,3.09844,0.0335836,-0.180706,5.03276,0,0,0,0.031058,-0.167091,-4.53279,-1365,-253.843,0
6,2.5e-05,1.45708e-11,2,3.09866,3.09866,-1.51601,-1.32023,1.27067,-3718.29,4069.8,0,-1.00496,-0.875945,-1.14421,-92349.3,106017,0
24,5e-05,1.16566e-10,2,3.09889,3.0989,-0.0706965,-0.0813743,4.96056,0,0,0,-0.0663327,-0.0763659,-4.45862,-500.073,434.041,0
16,2.5e-05,1.45708e-11,2,3.09893,3.09893,0.669263,-0.773201,1.6591,-2170.86,-1660,0,0.486127,-0.562528,-1.49352,-44196.2,-38189.7,0
29,5e-05,1.16566e-10,2,3.09894,3.09914,0.0540201,-0.0795771,4.94132,0,0,0,0.0505137,-0.0744045,-4.44107,-518.438,-352.096,0
8,5e-05,1.16566e-10,2,3.09894,3.09914,-0.0235881,-0.159759,4.95453,0,0,0,-0.0219331,-0.148544,-4.45272,-1124.46,166.042,0
15,2.5e-05,1.45708e-11,2,3.09915,3.09915,0.0723569,-0.754894,1.6147,-2222.37,-186.267,0,0.0577126,-0.602849,-1.45278,-32513,-3103.51,0
14,5e-05,1.16566e-10,2,3.09915,3.09915,-0.0207671,-0.133365,4.94208,0,0,0,-0.0192758,-0.123788,-4.45187,-956.429,148.934,0
20,5e-05,1.16566e-10,2,3.09915,3.09916,-0.0188753,-0.10843,4.94685,0,0,0,-0.0175295,-0.100692,-4.45606,-773.017,134.604,0
22,2.5e-05,1.45708e-11,2,3.09916,3.09916,0.619965,-0.205276,1.59723,-569.215,-1242.88,0,0.518897,-0.172156,-1.43727,-7164.9,-21358.1,0
27,5e-05,1.16566e-10,2,3.09916,3.09916,0.00263506,-0.0856424,4.9527,0,0,0,0.00245169,-0.0796588,-4.45113,-597.77,-18.4165,0
28,2.5e-05,1.45708e-11,2,3.09916,3.09916,0.619017,0.387086,1.59306,568.587,-1184.24,0,0.494994,0.309078,-1.4307,16106.2,-25892.2,0
26,2.5e-05,1.45708e-11,2,3.09917,3.09917,-0.473459,0.359555,1.55975,571.924,976.382,0,-0.406699,0.308538,-1.40595,10720.2,14260.2,0
21,2.5e-05,1.45708e-11,2,3.09938,3.09939,0.0662676,-0.216418,1.57023,-775.31,-174.997,0,0.0620862,-0.20294,-1.41489,-3440.89,-1001.01,0
32,2.5e-05,1.45708e-11,2,3.10163,3.10163,-0.281693,-0.345784,5.13427,0,0,0,-0.268148,-0.329159,-4.62842,-3301.86,2689.77,0
37,2.5e-05,1.45708e-11,2,3.10186,3.10186,0.216603,-0.346552,5.12216,0,0,0,0.204136,-0.326609,-4.6073,-3955.04,-2471.83,0
36,2.5e-05,1.45708e-11,2,3.10189,3.10208,0.120667,-0.334978,5.09097,0,0,0,0.113691,-0.315617,-4.57865,-3859.55,-1390.17,0
38,2.5e-05,1.45708e-11,2,3.10209,3.10209,-0.278209,-0.254226,5.05934,0,0,0,-0.259776,-0.237391,-4.55143,-3333.72,3647.47,0
34,2.5e-05,1.45708e-11,2,3.10209,3.10209,-0.0846537,-0.331549,5.07859,0,0,0,-0.0800232,-0.313422,-4.56923,-3583.84,914.912,0
56,2.5e-05,1.45708e-11,2,3.10211,3.10211,-0.277965,0.0474857,5.05146,0,0,0,-0.261602,0.0446841,-4.54496,553.798,3244.18,0
35,2.5e-05,1.45708e-11,2,3.10211,3.10211,0.0138147,-0.325918,5.06249,0,0,0,0.0130669,-0.30828,-4.54926,-3498.77,-148.293,0
50,2.5e-05,1.45708e-11,2,3.10212,3.10212,-0.258737,-0.049762,5.01563,0,0,0,-0.239387,-0.0460448,-4.51454,-740.727,3849.92,0
63,2.5e-05,1.45708e-11,2,3.10234,3.10235,-0.183737,0.154203,4.99457,0,0,0,-0.17266,0.144898,-4.49702,1839.71,2192.72,0
57,2.5e-05,1.45708e-11,2,3.10235,3.10235,-0.178685,0.0502326,4.99196,0,0,0,-0.164873,0.046342,-4.49885,770.297,2741.87,0
51,2.5e-05,1.45708e-11,2,3.10235,3.10236,-0.176607,-0.0527375,4.98939,0,0,0,-0.165862,-0.0495352,-4.49275,-636.862,2131.29,0
61,2.5e-05,1.45708e-11,2,3.10236,3.10236,0.209216,0.0546369,4.99289,0,0,0,0.194045,0.0506689,-4.49324,786.826,-3014.44,0
58,2.5e-05,1.45708e-11,2,3.10236,3.10236,-0.0847318,0.0497078,4.99664,0,0,0,-0.0803064,0.047106,-4.49714,514.232,877.193,0
54,2.5e-05,1.45708e-11,2,3.10236,3.10236,0.109945,-0.050732,4.99411,0,0,0,0.103538,-0.0477811,-4.49793,-587.054,-1271.45,0
52,2.5e-05,1.45708e-11,2,3.10236,3.10236,-0.077855,-0.0507886,4.99715,0,0,0,-0.0737739,-0.0481315,-4.50293,-528.31,809.314,0
40,2.5e-05,1.45708e-11,2,3.10236,3.10236,-0.0833227,-0.244479,4.98476,0,0,0,-0.0786095,-0.230656,-4.49024,-2744.65,935.301,0
46,2.5e-05,1.45708e-11,2,3.10236,3.10236,-0.0800065,-0.147129,4.99156,0,0,0,-0.0739313,-0.135961,-4.4949,-2222.2,1208.23,0
45,2.5e-05,1.45708e-11,2,3.10236,3.10236,-0.182027,-0.153752,4.9897,0,0,0,-0.168268,-0.142135,-4.49269,-2311.63,2736.37,0
60,2.5e-05,1.45708e-11,2,3.10236,3.10236,0.109934,0.052546,4.99693,0,0,0,0.101845,0.0486751,-4.4972,768.544,-1608.56,0
49,2.5e-05,1.45708e-11,2,3.10236,3.10236,0.205454,-0.154724,4.98887,0,0,0,0.194594,-0.14655,-4.49047,-1623.4,-2155.3,0
43,2.5e-05,1.45708e-11,2,3.10237,3.10237,0.21514,-0.257362,4.99083,0,0,0,0.202857,-0.242673,-4.49414,-2919.13,-2439.99,0
59,2.5e-05,1.45708e-11,2,3.10237,3.10237,0.00922881,0.0435063,4.9998,0,0,0,0.00864836,0.0407661,-4.50117,544.059,-115.464,0
39,2.5e-05,1.45708e-11,2,3.10237,3.10237,-0.189905,-0.255863,4.9894,0,0,0,-0.178769,-0.240862,-4.47712,-2982.58,2213.54,0
47,2.5e-05,1.45708e-11,2,3.10237,3.10237,0.0127285,-0.147635,4.99223,0,0,0,0.0117485,-0.136271,-4.49867,-2265.09,-195.269,0
26,2.5e-05,1.45708e-11,2,3.12173,3.12173,-0.973473,0.765077,0.43611,10720.2,14260.2,0,-0.777486,0.609529,-0.392807,41675.9,53268.3,0
22,2.5e-05,1.45708e-11,2,3.12174,3.12174,1.14796,-0.434678,0.429675,-7164.9,-21358.1,0,0.918311,-0.344749,-0.387174,-25071.3,-67064.5,0
56,2.5e-05,1.45708e-11,2,3.12198,3.12198,-1.49535,0.375988,1.68568,553.798,3244.18,0,-0.989054,0.247534,-1.51732,26180.4,104264,0
50,2.5e-05,1.45708e-11,2,3.122,3.122,-1.41919,-0.212628,1.71445,-740.727,3849.92,0,-0.958691,-0.144335,-1.54199,-14371.7,95740.4,0
34,2.5e-05,1.45708e-11,2,3.12221,3.12221,-0.489143,-1.6495,1.5641,-3583.84,914.912,0,-0.316633,-1.07002,-1.40937,-119211,35335.9,0
35,2.5e-05,1.45708e-11,2,3.12221,3.12222,0.080886,-1.66226,1.58634,-3498.77,-148.293,0,0.0525627,-1.08222,-1.42625,-119224,-5799.13,0
36,2.5e-05,1.45708e-11,2,3.12223,3.12223,0.69177,-1.66885,1.48811,-3859.55,-1390.17,0,0.447785,-1.08255,-1.33629,-120842,-50070.6,0
21,2.5e-05,1.45708e-11,2,3.12223,3.12224,0.164763,-0.540684,0.600164,-3440.89,-1001.01,0,0.112115,-0.368603,-0.539592,-37770.2,-11502.8,0
40,2.5e-05,1.45708e-11,2,3.12248,3.12249,-0.51462,-1.26968,1.75089,-2744.65,935.301,0,-0.350065,-0.865481,-1.57407,-83396.2,33769,0
63,2.5e-05,1.45708e-11,2,3.1225,3.1225,-1.08783,1.01294,1.76168,1839.71,2192.72,0,-0.726706,0.6758,-1.58459,69115.9,74260,0
61,2.5e-05,1.45708e-11,2,3.1225,3.1225,1.15138,0.424385,1.76378,786.826,-3014.44,0,0.808146,0.296615,-1.58682,26276.6,-71495.2,0
49,2.5e-05,1.45708e-11,2,3.12271,3.12271,1.18357,-0.862122,1.72668,-1623.4,-2155.3,0,0.792618,-0.577591,-1.55415,-58395.2,-80155.1,0
39,2.5e-05,1.45708e-11,2,3.12272,3.12272,-1.15313,-1.40738,1.54948,-2982.58,2213.54,0,-0.744995,-0.910545,-1.39722,-102129,83656.2,0
43,2.5e-05,1.45708e-11,2,3.12273,3.12273,1.27824,-1.41653,1.48588,-2919.13,-2439.99,0,0.827942,-0.918498,-1.33434,-102294,-92287.3,0
57,2.5e-05,1.45708e-11,2,3.12295,3.12296,-0.980915,0.387129,1.74814,770.297,2741.87,0,-0.71807,0.282301,-1.57441,21671.2,55156.1,0
45,2.5e-05,1.45708e-11,2,3.12296,3.12296,-1.06264,-0.851633,1.73356,-2311.63,2736.37,0,-0.723801,-0.58058,-1.56196,-56392.4,70336.9,0
51,2.5e-05,1.45708e-11,2,3.12298,3.12298,-0.984849,-0.230605,1.72794,-636.862,2131.29,0,-0.725399,-0.170334,-1.55421,-12661.1,53876.5,0
38,2.5e-05,1.45708e-11,2,3.12321,3.12321,-1.51614,-1.3215,1.26629,-3333.72,3647.47,0,-1.00364,-0.875485,-1.14039,-92314.6,105887,0
42,5e-05,1.16566e-10,2,3.12368,3.12368,0.0337801,-0.161669,4.95588,0,0,0,0.031703,-0.151742,-4.45458,-989.36,-206.629,0
