t,bubble_diameter
0.020247469066366652, 0.500383141762452
0.060742407199100124, 0.500383141762452
0.10798650168728907, 0.500383141762452
0.1484814398200225, 0.500383141762452
0.20078740157480318, 0.5009578544061302
0.21082869527302578, 0.4987001884508342
0.24296962879640044, 0.5013409961685823
0.24945183387674502, 0.4966494261787982
0.2750281214848144, 0.4952107279693486
0.29021372328458944, 0.5026819923371647
0.3013094745195008, 0.49352153456387976
0.33745781777277845, 0.5042145593869731
0.33750178621809085, 0.4905943632664962
0.3712035995500563, 0.5057471264367815
0.37909593548363457, 0.48641826554889556
0.41001124859392574, 0.507471264367816
0.4169087984523108, 0.4816437239216077
0.4454443194600675, 0.5095785440613027
0.4490497319756855, 0.4771806007962359
0.4673259490772123, 0.5115529097557626
0.47930002235062646, 0.4724849301733497
0.5095503127255674, 0.4674941031113107
0.5114409558740012, 0.5144968077462742
0.5379099599520745, 0.46257994005944125
0.5545476196582919, 0.5176492318444469
0.5643789640301478, 0.45807209626147055
0.590847968108221, 0.45338025883909283
0.5946292544050886, 0.5207442276295471
0.6173169721862943, 0.4485657590004438
0.6362234036706325, 0.5240031450073008
0.6437859762643676, 0.443720593557727
0.6702549803424409, 0.43887542811501024
0.6778175529361761, 0.5274376926628975
0.6967239844205142, 0.43399959706822555
0.7194117022017199, 0.5309112692691261
0.7231929884985875, 0.4292157628336444
0.7515526357250946, 0.42434759818787665
0.7610058514672637, 0.5343263024494069
0.7818029261000357, 0.419464100740075
0.8026000007328076, 0.537702306679056
0.8139438596234103, 0.4147415977136295
0.8441941499983512, 0.5411563688099686
0.8498660794436526, 0.40978296953586174
0.885788299263895, 0.5445714019902494
0.8876789424123288, 0.4049531368951788
0.9273824485294389, 0.5478498338433191
0.9273824485294389, 0.4004960307330294
0.9689765977949825, 0.5509526354185457
0.9689765977949825, 0.3963394474907447
1.0105707470605263, 0.5539188356665611
1.0105707470605263, 0.3926512116560414
1.0521648963260701, 0.5567289201120493
1.0521648963260701, 0.3893532653276559
1.0937590455916137, 0.5593828887550104
1.0937590455916137, 0.38658220983279945
1.1353531948571576, 0.5618807415954444
1.1353531948571576, 0.3840843569923654
1.1769473441227014, 0.5641834496827195
1.1769473441227014, 0.3819767936582492
1.218541493388245, 0.566232469590888
1.218541493388245, 0.38014243297855554
1.2601356426537889, 0.5681058592212135
1.2601356426537889, 0.3785422460026525
1.3017297919193327, 0.5697450751477483
1.3017297919193327, 0.3771372037799084
1.3433239411848765, 0.5712672042223879
1.3433239411848765, 0.37594682078563907
1.3849180904504201, 0.5725551595932366
1.3849180904504201, 0.3748540101679492
1.426512239715964, 0.5737650570628218
1.426512239715964, 0.37397585877873407
1.4681063889815078, 0.5748383532051957
1.4681063889815078, 0.3731952797660985
1.5097005382470514, 0.5757750480203585
1.5097005382470514, 0.3724732441794105
1.5512946875125952, 0.5765361125576782
1.5512946875125952, 0.37186829544461797
1.592888836778139, 0.5771313040548129
1.592888836778139, 0.371321890135773
1.6328624347735967, 0.5777292833341355
1.6344829860436827, 0.3708535427281916
1.6666239195670576, 0.5780972705829495
1.6760771353092268, 0.37040470979592616
1.7075365579302586, 0.5785440613026819
1.7176712845747701, 0.37001442028960835
1.7578474514789888, 0.36968999213748166
1.7581552305961754, 0.578735632183908
1.7952755905511815, 0.578927203065134
1.8008595831058578, 0.36933141365355215
1.8354297732327436, 0.5789097308023512
1.8424537323714016, 0.36913626890039325
1.8695163104611927, 0.578927203065134
1.8840478816369455, 0.36882403729533897
1.9032620922384704, 0.578927203065134
1.9256420309024893, 0.3686874359681278
1.9445484623868272, 0.5789559074968487
1.9672361801680331, 0.36843374778902116
1.986142611652371, 0.5789559074968487
2.0073759885501663, 0.3688797452847023
2.027736760917915, 0.5789559074968487
2.0504244786991204, 0.36829714646181
2.0693309101834587, 0.5789559074968487
2.092018627964664, 0.36814103065928283
2.110925059449002, 0.5789559074968487
2.133612777230208, 0.3679458859061239
2.152519208714546, 0.5789559074968487
2.175206926495752, 0.3679458859061239
2.1941133579800898, 0.5789559074968487
2.2168010757612957, 0.3679458859061239
2.2357075072456336, 0.5789559074968487
2.258395225026839, 0.3679458859061239
2.2773016565111774, 0.5787802772190057
2.299989374292383, 0.3679458859061239
2.3188958057767213, 0.5787412482683739
2.3415835235579268, 0.3679458859061239
2.360489955042265, 0.5787412482683739
2.3831776728234706, 0.3679458859061239
2.4020841043078085, 0.5787412482683739
2.4247718220890144, 0.3679263714308081
2.4436782535733523, 0.5787412482683739
2.4663659713545583, 0.36790685695549213
2.485272402838896, 0.5786046469411626
2.507960120620102, 0.3679458859061239
2.52686655210444, 0.5785265890398991
2.5495542698856455, 0.3678287990542286
2.568460701369984, 0.5785265890398991
2.5911484191511893, 0.3677312266776491
2.6100548506355277, 0.5785265890398991
2.632742568416733, 0.3677312266776491
2.651648999901071, 0.5785265890398991
2.674336717682277, 0.3677312266776491
2.693243149166615, 0.5785265890398991
2.715930866947821, 0.3675360819244902
2.7348372984321587, 0.5785265890398991
2.7575250162133647, 0.3675165674491744
2.7764314476977026, 0.5785265890398991
2.799119165478908, 0.3675360819244902
2.8180255969632464, 0.5785265890398991
2.840713314744452, 0.3674970529738585
2.8596197462287902, 0.5785265890398991
2.8823074640099957, 0.3673409371713313
2.901213895494334, 0.5787412482683739
2.9239016132755395, 0.36712627794285657
2.9428080447598775, 0.5787412482683739
2.9654957625410834, 0.3670872489922248
2.9850324084082325, 0.5788485778826112
2.9951158385332133, 0.3670872489922248
