t,rise_velocity
0.0025637078655803003, 0.006498481838287662
0.01401701319787274, 0.01918056753008207
0.02207281003639394, 0.02826104884357311
0.0305775764439411, 0.03706563706563709
0.03906035250524997, 0.04509252664592467
0.05098461775280633, 0.05966887830965495
0.06428877722679749, 0.07431387004202533
0.07374462610913812, 0.08348365008559183
0.08320047499147876, 0.09242418562806909
0.09454749365028753, 0.10262556592653677
0.10589451230909636, 0.1127123239744599
0.11724153096790513, 0.1226844597718384
0.12858854962671395, 0.13219810656703856
0.13993556828552267, 0.1415971311116942
0.1512825869443315, 0.1506522889047161
0.16262960560314021, 0.15936357994610423
0.17397662426194904, 0.16818949323803695
0.18532364292075787, 0.1765569175277913
0.19667066157956659, 0.18480971956700112
0.2080176802383754, 0.19271865485457718
0.21936469889718413, 0.2005129678916087
0.23071171755599296, 0.20807803642755102
0.24205873621480178, 0.215184615961315
0.2552969246500787, 0.22378128475215855
0.2704262828618237, 0.23272182029463584
0.2855556410735687, 0.2413184890854794
0.3006849992853138, 0.2498291911884145
0.3158143574970588, 0.257824093163899
0.3309437157088039, 0.2654751283877498
0.34607307392054887, 0.27269633017205835
0.36309360190876205, 0.28045052542139925
0.38200529967344343, 0.28856578075995554
0.4028081672145928, 0.2966810360985118
0.42550220453221044, 0.3048765270124494
0.448196241849828, 0.31221235104730255
0.4727814489439136, 0.3195236131713247
0.5011489955909356, 0.32685534355437273
0.535190051567362, 0.3343344454024066
0.5749046168731927, 0.34135245319711344
0.6165103519554916, 0.347198187974887
0.6581160870377903, 0.35154341329098615
0.6968850674553871, 0.3544506503729805
0.7318717083200476, 0.356513850882783
0.77123442808607, 0.35768339768339774
0.8187995469988673, 0.35830115830115833
0.8623624228963486, 0.35823318464095166
0.9039681579786475, 0.35823318464095166
0.9644855908256277, 0.35754545113768416
1.0117648352373307, 0.3568577176344167
1.055261740096098, 0.35601368106222475
1.0968674751783967, 0.35513838387624796
1.1384732102606958, 0.3542630866902712
1.1800789453429945, 0.35326274704915483
1.2216846804252932, 0.3522624074080385
1.2632904155075924, 0.35126206776692215
1.304896150589891, 0.35035550996716047
1.3465018856721898, 0.3494802127811837
1.388107620754489, 0.3486674368227767
1.4297133558367876, 0.3479484427057243
1.4713190909190867, 0.34729196981624166
1.5129248260013854, 0.346666757540544
1.5545305610836841, 0.34626036956134043
1.5961362961659833, 0.345853981582137
1.637742031248282, 0.34563515728564276
1.6793477663305807, 0.3451662480788695
1.7209535014128798, 0.3451662480788695
1.7625592364951785, 0.3451662480788695
1.8041649715774772, 0.3451662480788695
1.8457707066597764, 0.3451662480788695
1.887376441742075, 0.3451662480788695
1.9289821768243742, 0.34522876930643925
1.970587911906673, 0.3458227209683521
2.0121936469889716, 0.345853981582137
2.0537993820712708, 0.345853981582137
2.0986471224846577, 0.34634521979875654
2.137010852235868, 0.34654171508540443
2.1710519082122945, 0.34654171508540443
2.204983012457531, 0.34687258687258693
2.2391340201651473, 0.3472294485886719
2.2750662459180417, 0.3472294485886719
2.333692508988554, 0.3479171820919394
2.3752982440708528, 0.3479171820919394
2.416903979153152, 0.3483860912987127
2.4585097142354506, 0.3486049155952069
2.4998245001213695, 0.3491301565087973
2.5417211844000485, 0.3491549751743927
2.583326919482347, 0.34929264909847435
2.624932654564646, 0.34929264909847435
2.666538389646945, 0.34929264909847435
2.7081441247292437, 0.34960525523632324
2.749749859811543, 0.34963651585010813
2.7913555948938416, 0.34963651585010813
2.8329613299761403, 0.34963651585010813
2.8745670650584394, 0.3494176915536139
2.916172800140738, 0.34929264909847435
2.9577785352230372, 0.3491988672571197
2.984254912093591, 0.3489487823468406
3.0, 0.3489487823468406
