t,sphericity
0.00993219746891727, 1.000069490557905
0.05411499436302142, 1.0000537634408604
0.09977452085682076, 1.0000537634408604
0.14712514092446455, 1.0001075268817206
0.19081874823653572, 1.0000230664383323
0.23241635224581386, 1.0000230664383323
0.274013956255092, 1.0000230664383323
0.3127753599910102, 0.9999930101702025
0.3568310042372003, 0.999854751336805
0.39934699690642345, 0.999628041200054
0.43208485149034886, 0.9993498060322232
0.47443877557252295, 0.998700590640618
0.5039458850056371, 0.9981720430107528
0.5306900809941604, 0.9974607695802609
0.5689787846845187, 0.9964163142627478
0.606794788329317, 0.9951405926599022
0.6389383914273956, 0.9938690455387412
0.6673003941609943, 0.9926034619628441
0.6937715967123532, 0.9913239236910296
0.7202427992637119, 0.9899756853777755
0.7467140018150706, 0.9885501595179016
0.7712944041841896, 0.9871690024347908
0.7939840063710686, 0.9858465266370765
0.8166736085579476, 0.9845240508393621
0.8393632107448266, 0.9831915562856045
0.8620528129317055, 0.9818690804878902
0.8847424151185845, 0.9804564358857862
0.9074320173054635, 0.9791840538682883
0.9301216194923425, 0.9779016530947472
0.9528112216792215, 0.9766593273453792
0.9773916240483402, 0.9753339890459383
1.0038628265996992, 0.973977163227504
1.0303340291510579, 0.9726718624401497
1.0586960318846568, 0.9713493866424353
1.0889488348004952, 0.9700043686436236
1.1192016377163339, 0.9687495194492015
1.1381096395387331, 0.9679830846118898
1.1685456595264943, 0.9670430107526883
1.2080692462816098, 0.9658955401708696
1.249666850290888, 0.9646932894456748
1.2912644543001661, 0.9636495172251647
1.3328620583094444, 0.9628024769415047
1.3744596623187224, 0.9620756617303642
1.4160572663280007, 0.9614745363677668
1.4576548703372787, 0.9609663121975708
1.4992524743465567, 0.9605619187718234
1.540093758282939, 0.960240589941635
1.582447682365113, 0.9599717229612732
1.6240452863743913, 0.9597531319203287
1.6656428903836695, 0.9596055829676912
1.7072404943929476, 0.9594853578951716
1.7488380984022256, 0.9594143158068646
1.7900155245932283, 0.9592801251956182
1.8358149067852616, 0.959381527150723
1.8774125107945396, 0.9593268793904869
1.9190101148038181, 0.9593268793904869
1.9606077188130961, 0.9593268793904869
2.002205322822374, 0.9592940907343452
2.043802926831652, 0.959381527150723
2.0854005308409302, 0.9594197805828883
2.1269981348502087, 0.9594471044630064
2.168973898895935, 0.9594891832383882
2.210193342868765, 0.9595290761033606
2.251790946878043, 0.9595673295355258
2.293388550887321, 0.9595673295355258
2.3349861548965993, 0.9596110477437148
2.3765837589058774, 0.9596274420717856
2.4125089623684355, 0.9596274420717856
2.4597789669244334, 0.9597367375922579
2.5013765709337115, 0.9596875546080453
2.54297417494299, 0.9596875546080453
2.584571778952268, 0.9596875546080453
2.626169382961546, 0.9596875546080453
2.667766986970824, 0.9596875546080453
2.709364590980102, 0.9596274420717856
2.7490713948071406, 0.9595913745500297
2.7925597989986586, 0.9595673295355258
2.8341574030079366, 0.9595345408793842
2.8757550070172146, 0.9594634987910772
2.9173526110264927, 0.9594252453589119
2.958950215035771, 0.9593633112306443
2.98920301795161, 0.9593699716911894
3.0, 0.9593699716911894
