    time           f_x           f_y          f_z          f_xv         f_yv          f_zv         f_xp          f_yp          f_zp     
 0.4345546081  0.0830132899  0.0301120451 0.0000000000 0.0688997675 -0.0003189629 0.0000000000  0.0141135224  0.0304310080 0.0000000000 
 0.4424458389  0.0825291372  0.0303424674 0.0000000000 0.0684498267 -0.0002914125 0.0000000000  0.0140793106  0.0306338798 0.0000000000 
 0.4503389396  0.0820330851  0.0302809078 0.0000000000 0.0679894228 -0.0002816069 0.0000000000  0.0140436623  0.0305625147 0.0000000000 
 0.4582340180  0.0815917168  0.0305667293 0.0000000000 0.0675381604 -0.0002728491 0.0000000000  0.0140535565  0.0308395784 0.0000000000 
 0.4661310349  0.0810648042  0.0301273747 0.0000000000 0.0670994053 -0.0002643653 0.0000000000  0.0139653989  0.0303917400 0.0000000000 
 0.4740299131  0.0809009249  0.0304647889 0.0000000000 0.0666788153 -0.0002560306 0.0000000000  0.0142221097  0.0307208195 0.0000000000 
 0.4819304647  0.0803683467  0.0300935500 0.0000000000 0.0662784234 -0.0002452992 0.0000000000  0.0140899232  0.0303388492 0.0000000000 
 0.4893200388  0.0800975689  0.0306646136 0.0000000000 0.0659030480 -0.0002375884 0.0000000000  0.0141945209  0.0309022021 0.0000000000 
 0.4967109123  0.0796641651  0.0306631602 0.0000000000 0.0655341593 -0.0002296883 0.0000000000  0.0141300058  0.0308928485 0.0000000000 
 0.5041029574  0.0793452192  0.0311483242 0.0000000000 0.0651749084 -0.0002221259 0.0000000000  0.0141703108  0.0313704501 0.0000000000 
 0.5114960567  0.0790767688  0.0306026685 0.0000000000 0.0648261949 -0.0002154011 0.0000000000  0.0142505739  0.0308180695 0.0000000000 
 0.5188901679  0.0788562992  0.0309711407 0.0000000000 0.0644921989 -0.0002077149 0.0000000000  0.0143641003  0.0311788555 0.0000000000 
 0.5238946280  0.0784935397  0.0309911787 0.0000000000 0.0642644714 -0.0002032781 0.0000000000  0.0142290683  0.0311944568 0.0000000000 
 0.5288996817  0.0782851364  0.0310979694 0.0000000000 0.0640397604 -0.0001983388 0.0000000000  0.0142453760  0.0312963082 0.0000000000 
 0.5339053641  0.0781348119  0.0311167188 0.0000000000 0.0638204942 -0.0001941427 0.0000000000  0.0143143178  0.0313108615 0.0000000000 
 0.5389116343  0.0779129430  0.0312330409 0.0000000000 0.0636032783 -0.0001889817 0.0000000000  0.0143096647  0.0314220226 0.0000000000 
 0.5439184914  0.0777128275  0.0312415225 0.0000000000 0.0633902400 -0.0001832834 0.0000000000  0.0143225875  0.0314248059 0.0000000000 
 0.5484355635  0.0776327109  0.0313801901 0.0000000000 0.0632029926 -0.0001794109 0.0000000000  0.0144297184  0.0315596010 0.0000000000 
 0.5529531089  0.0773619034  0.0312193263 0.0000000000 0.0630162844 -0.0001754094 0.0000000000  0.0143456191  0.0313947357 0.0000000000 
 0.5574710795  0.0773913153  0.0312016832 0.0000000000 0.0628352093 -0.0001716654 0.0000000000  0.0145561061  0.0313733486 0.0000000000 
 0.5619894617  0.0771864082  0.0310872796 0.0000000000 0.0626574919 -0.0001681593 0.0000000000  0.0145289163  0.0312554389 0.0000000000 
 0.5665082571  0.0769498184  0.0312026813 0.0000000000 0.0624784174 -0.0001672502 0.0000000000  0.0144714010  0.0313699316 0.0000000000 
 0.5710188691  0.0764066559  0.0317529325 0.0000000000 0.0622935841 -0.0001634755 0.0000000000  0.0141130718  0.0319164080 0.0000000000 
 0.5755299101  0.0762983929  0.0321631440 0.0000000000 0.0621110126 -0.0001589027 0.0000000000  0.0141873803  0.0323220467 0.0000000000 
 0.5800414559  0.0763903623  0.0323716906 0.0000000000 0.0619373546 -0.0001543925 0.0000000000  0.0144530077  0.0325260831 0.0000000000 
 0.5845534371  0.0766052931  0.0312482199 0.0000000000 0.0617796700 -0.0001512780 0.0000000000  0.0148256231  0.0313994980 0.0000000000 
 0.5890659676  0.0759927371  0.0304171899 0.0000000000 0.0616096137 -0.0001551742 0.0000000000  0.0143831234  0.0305723641 0.0000000000 
 0.5935790674  0.0762542891  0.0320385142 0.0000000000 0.0614509639 -0.0001518954 0.0000000000  0.0148033252  0.0321904096 0.0000000000 
 0.5980925988  0.0757307326  0.0313021763 0.0000000000 0.0612821556 -0.0001484936 0.0000000000  0.0144485770  0.0314506700 0.0000000000 
 0.6026063471  0.0755070025  0.0313016158 0.0000000000 0.0611185470 -0.0001454784 0.0000000000  0.0143884555  0.0314470942 0.0000000000 
 0.6071202666  0.0755578167  0.0322029464 0.0000000000 0.0609582203 -0.0001411624 0.0000000000  0.0145995963  0.0323441087 0.0000000000 
 0.6116349970  0.0754198768  0.0320026224 0.0000000000 0.0608083861 -0.0001491435 0.0000000000  0.0146114907  0.0321517658 0.0000000000 
 0.6159461824  0.0753400177  0.0315310722 0.0000000000 0.0606622890 -0.0001466966 0.0000000000  0.0146777286  0.0316777687 0.0000000000 
 0.6202577478  0.0751748532  0.0315376851 0.0000000000 0.0605192457 -0.0001443364 0.0000000000  0.0146556075  0.0316820215 0.0000000000 
 0.6245697236  0.0750353076  0.0315893901 0.0000000000 0.0603703938 -0.0001394333 0.0000000000  0.0146649139  0.0317288234 0.0000000000 
 0.6288819085  0.0746373928  0.0338713286 0.0000000000 0.0602211566 -0.0001355293 0.0000000000  0.0144162362  0.0340068578 0.0000000000 
 0.6331944183  0.0747670069  0.0299060369 0.0000000000 0.0600896490 -0.0001441516 0.0000000000  0.0146773579  0.0300501885 0.0000000000 
 0.6375073630  0.0746848513  0.0336114464 0.0000000000 0.0599512049 -0.0001395102 0.0000000000  0.0147336464  0.0337509565 0.0000000000 
 0.6418205550  0.0745275622  0.0335860692 0.0000000000 0.0598129619 -0.0001349298 0.0000000000  0.0147146004  0.0337209990 0.0000000000 
 0.6461340280  0.0744713047  0.0330178963 0.0000000000 0.0596759743 -0.0001306937 0.0000000000  0.0147953304  0.0331485900 0.0000000000 
 0.6504477157  0.0743175389  0.0306013367 0.0000000000 0.0595421549 -0.0001307643 0.0000000000  0.0147753840  0.0307321010 0.0000000000 
 0.6547619359  0.0735819067  0.0277327165 0.0000000000 0.0593968585 -0.0001286718 0.0000000000  0.0141850482  0.0278613883 0.0000000000 
 0.6590766846  0.0747768347  0.0369362212 0.0000000000 0.0592791984 -0.0001206118 0.0000000000  0.0154976363  0.0370568330 0.0000000000 
 0.6633917735  0.0733350766  0.0319258010 0.0000000000 0.0591360193 -0.0001172211 0.0000000000  0.0141990573  0.0320430221 0.0000000000 
 0.6677069280  0.0743442627  0.0311546687 0.0000000000 0.0590177247 -0.0001163089 0.0000000000  0.0153265381  0.0312709776 0.0000000000 
 0.6720224416  0.0734562997  0.0332667030 0.0000000000 0.0588848355 -0.0001125865 0.0000000000  0.0145714643  0.0333792894 0.0000000000 
 0.6763384265  0.0735357104  0.0312344352 0.0000000000 0.0587582985 -0.0001101398 0.0000000000  0.0147774119  0.0313445750 0.0000000000 
 0.6806548696  0.0734178003  0.0314949447 0.0000000000 0.0586317776 -0.0001074674 0.0000000000  0.0147860227  0.0316024121 0.0000000000 
 0.6849715234  0.0734349882  0.0341492649 0.0000000000 0.0585114609 -0.0001026380 0.0000000000  0.0149235274  0.0342519029 0.0000000000 
 0.6892884745  0.0735601646  0.0332461450 0.0000000000 0.0583903211 -0.0000998356 0.0000000000  0.0151698436  0.0333459806 0.0000000000 
 0.6936055239  0.0729568332  0.0338904889 0.0000000000 0.0582687746 -0.0000960691 0.0000000000  0.0146880586  0.0339865580 0.0000000000 
 0.6979228747  0.0728935183  0.0286088303 0.0000000000 0.0581436362 -0.0000982551 0.0000000000  0.0147498821  0.0287070854 0.0000000000 
 0.7022407022  0.0727401058  0.0305129062 0.0000000000 0.0580222543 -0.0000968159 0.0000000000  0.0147178515  0.0306097222 0.0000000000 
 0.7065591496  0.0727801317  0.0329307190 0.0000000000 0.0579014428 -0.0000931066 0.0000000000  0.0148786889  0.0330238256 0.0000000000 
