    time           f_x           f_y           f_z          f_xv         f_yv          f_zv         f_xp           f_yp          f_zp     
 0.0040000000  6.1997948465  23.5091615951 0.0000000000 0.6259437521 -0.0361449563 0.0000000000  5.5738510943  23.5453065514 0.0000000000 
 0.0106000000 -2.9689967482 -14.1664320232 0.0000000000 0.3466839813 -0.0336950827 0.0000000000 -3.3156807295 -14.1327369406 0.0000000000 
 0.0216000000  0.2291923462  -0.0392969738 0.0000000000 0.2293426790 -0.0213996345 0.0000000000 -0.0001503328  -0.0178973392 0.0000000000 
 0.0312652709  0.2720144812   0.3293682758 0.0000000000 0.2025619029 -0.0174934741 0.0000000000  0.0694525782   0.3468617498 0.0000000000 
 0.0416869870  0.2135941729   0.1286178790 0.0000000000 0.1839387358 -0.0150939406 0.0000000000  0.0296554371   0.1437118196 0.0000000000 
 0.0526615369  0.1982437388   0.1624177038 0.0000000000 0.1677578861 -0.0132956912 0.0000000000  0.0304858527   0.1757133951 0.0000000000 
 0.0639450525  0.1854820299   0.1498793301 0.0000000000 0.1545333438 -0.0119725088 0.0000000000  0.0309486860   0.1618518389 0.0000000000 
 0.0754067560  0.1745405551   0.1708092845 0.0000000000 0.1437200263 -0.0108475947 0.0000000000  0.0308205288   0.1816568792 0.0000000000 
 0.0869805658  0.1651408769   0.1705744420 0.0000000000 0.1348440003 -0.0099196779 0.0000000000  0.0302968766   0.1804941199 0.0000000000 
 0.0986284434  0.1588262195   0.1773567280 0.0000000000 0.1275395324 -0.0091518928 0.0000000000  0.0312866871   0.1865086208 0.0000000000 
 0.1054206351  0.1528522252   0.1715821428 0.0000000000 0.1237513846 -0.0087391839 0.0000000000  0.0291008406   0.1803213267 0.0000000000 
 0.1122337607  0.1494870230   0.1727868161 0.0000000000 0.1202982809 -0.0083711539 0.0000000000  0.0291887420   0.1811579700 0.0000000000 
 0.1190655399  0.1462877914   0.1730054012 0.0000000000 0.1171300892 -0.0080339983 0.0000000000  0.0291577021   0.1810393995 0.0000000000 
 0.1259140872  0.1439717309   0.1815626072 0.0000000000 0.1142028952 -0.0077150220 0.0000000000  0.0297688357   0.1892776292 0.0000000000 
 0.1327775896  0.1420330538   0.1876929025 0.0000000000 0.1116351205 -0.0073326158 0.0000000000  0.0303979333   0.1950255182 0.0000000000 
 0.1393232409  0.1374128420   0.1727114726 0.0000000000 0.1092395972 -0.0070801801 0.0000000000  0.0281732449   0.1797916527 0.0000000000 
 0.1458751814  0.1356082248   0.1798972777 0.0000000000 0.1069849462 -0.0068340103 0.0000000000  0.0286232786   0.1867312880 0.0000000000 
 0.1524329122  0.1352924158   0.1930752063 0.0000000000 0.1048873447 -0.0065907791 0.0000000000  0.0304050710   0.1996659854 0.0000000000 
 0.1589930754  0.1310690028   0.1790231462 0.0000000000 0.1029016949 -0.0063800410 0.0000000000  0.0281673079   0.1854031872 0.0000000000 
 0.1655579853  0.1292122941   0.1773211916 0.0000000000 0.1010776360 -0.0061739104 0.0000000000  0.0281346582   0.1834951020 0.0000000000 
 0.1715219629  0.1277464349   0.1800386713 0.0000000000 0.0994832133 -0.0060028765 0.0000000000  0.0282632216   0.1860415478 0.0000000000 
 0.1774902946  0.1276942755   0.1970999953 0.0000000000 0.0979528123 -0.0058157611 0.0000000000  0.0297414632   0.2029157564 0.0000000000 
 0.1834611158  0.1252061540   0.1848727967 0.0000000000 0.0965112474 -0.0056565581 0.0000000000  0.0286949066   0.1905293549 0.0000000000 
 0.1894345932  0.1246110021   0.1933498740 0.0000000000 0.0951348373 -0.0054937840 0.0000000000  0.0294761647   0.1988436580 0.0000000000 
 0.1954101723  0.1232680354   0.1932150630 0.0000000000 0.0938257572 -0.0053273940 0.0000000000  0.0294422783   0.1985424570 0.0000000000 
 0.2013649487  0.1188044826   0.1701715141 0.0000000000 0.0925690110 -0.0052065305 0.0000000000  0.0262354717   0.1753780446 0.0000000000 
 0.2073224658  0.1211011543   0.1973949053 0.0000000000 0.0913713251 -0.0050560184 0.0000000000  0.0297298292   0.2024509237 0.0000000000 
 0.2132816022  0.1171691499   0.1775209983 0.0000000000 0.0902120026 -0.0049334012 0.0000000000  0.0269571473   0.1824543995 0.0000000000 
