x,y
0.183562054,0.653011642
0.179679874,0.665504927
0.178385814,0.68230624
0.176229047,0.701261568
0.174503633,0.725386531
0.169758746,0.756404341
0.168896039,0.770190034
0.168033332,0.800346238
0.166307919,0.824471201
0.166307919,0.86582828
0.163719798,0.900292513
0.163719798,0.929587111
0.161994385,0.951558059
0.161994385,0.974821416
0.161131678,0.999377182
0.163288445,1.023932948
0.167170625,1.046334699
0.172346866,1.066582436
0.176229047,1.08639937
0.182699347,1.103200683
0.190032355,1.126464041
0.196934009,1.143696157
0.20599243,1.161359076
0.214188145,1.179021996
0.224540626,1.196684915
0.233599047,1.210039805
0.243951528,1.225117907
0.256460777,1.241919221
0.267675965,1.255274111
0.280616566,1.265182578
0.296145288,1.283707103
0.310811303,1.294046373
0.324111366,1.302303428
0.337411429,1.313432504
0.35322772,1.32025355
0.368325088,1.328869608
0.38450084,1.334972649
0.39995767,1.341434693
0.4154145,1.346819729
0.429792946,1.351486761
0.445609237,1.355076785
0.462503911,1.358307807
0.475444513,1.358666809
0.486587808,1.359743817
0.499887871,1.359384814
0.520377157,1.3572308
0.537271831,1.355076785
0.5523692,1.352204766
0.569982796,1.349691749
0.579328787,1.347896736
0.587596393,1.345742722
0.59909915,1.341793695
0.609882985,1.337126664
0.615993824,1.334972649
0.625699276,1.33066462
0.637202033,1.325638586
0.646548023,1.319894547
0.65517509,1.315586518
0.662723775,1.308765472
0.672429226,1.303739438
0.683572522,1.29655939
0.690402284,1.289020339
0.701545579,1.281122285
0.712329414,1.270711215
0.720956482,1.262813162
0.72958355,1.252761094
0.739289001,1.242709026
0.747916069,1.233374963
0.755464753,1.22260489
0.761575592,1.212911825
0.766248587,1.205731776
0.772718888,1.195679708
0.779189189,1.184909635
0.785300029,1.173421558
0.793567635,1.155830439
0.80111632,1.140393335
0.807946082,1.121366206
0.812619077,1.109519126
0.81693261,1.092646012
0.821965067,1.07900392
0.8262786,1.065002825
0.829513751,1.049206719
0.831311057,1.042385673
0.833827285,1.025153556
0.835984052,1.003972413
0.838140819,0.990330321
0.835984052,0.977406234
0.837062435,0.959815115
0.836702974,0.942223996
0.834546207,0.921042853
0.834546207,0.900579715
0.832029979,0.877962562
0.831311057,0.848524363
0.833108362,0.823035191
0.830232673,0.801136043
0.830232673,0.778877893
0.828794829,0.751593708
0.825919139,0.728617553
0.824840756,0.71784748
0.822683989,0.702769378
0.819448838,0.679793223
0.818370455,0.665433126
0.814056921,0.658253078
0.809024465,0.657535073
0.806148776,0.663638114
0.806508237,0.68087023
0.80758662,0.695948332
0.81046231,0.709949427
0.815135305,0.7207195
0.819448838,0.734002589
0.821965067,0.744054657
0.82304345,0.759491762
0.822683989,0.771697844
0.823762372,0.796469011
0.824121834,0.808316091
0.825919139,0.821240179
0.825919139,0.837036285
0.825919139,0.857140421
0.825200217,0.870423511
0.826997523,0.882629593
0.826997523,0.899143705
0.828794829,0.91170879
0.828794829,0.921401855
0.828794829,0.935761952
0.824481295,0.943660006
0.819448838,0.951917061
0.811900154,0.959456112
0.802913625,0.966995163
0.793208174,0.973098205
0.782064878,0.977406234
0.772718888,0.98135526
0.761935054,0.985304287
0.741445768,0.988176306
0.728864627,0.991407328
0.717721331,0.992843338
0.699748274,0.992843338
0.682853599,0.99463835
0.665599464,0.994997352
0.649423712,0.997510369
0.63648311,0.998228374
0.622104664,0.998946379
0.605928912,0.999664384
0.595145077,0.999664384
0.578250403,1.000023386
0.563871957,1.002536403
0.556682734,1.002536403
0.541944826,1.002895406
0.527925841,1.002177401
0.514625779,1.002895406
0.501685177,1.002177401
0.485509425,1.002895406
0.475085051,1.002895406
0.461066066,1.001818399
0.448125465,1.002536403
0.435184863,1.002536403
0.429792946,1.001100394
0.422603723,0.999305382
0.412898271,0.999305382
0.397081981,0.998587377
0.383781918,0.998587377
0.3719197,0.999664384
0.357541253,0.997869372
0.348195263,0.997510369
0.335254662,0.998228374
0.314046454,0.994279348
0.298230163,0.993920345
0.287086867,0.992125333
0.273427343,0.990689323
0.265519198,0.989971319
0.25365698,0.988176306
0.242513684,0.986381294
0.234605538,0.983150272
0.227056854,0.98135526
0.216991942,0.978124239
0.207645952,0.974893217
0.201894573,0.969867183
0.197581039,0.966995163
0.185718821,0.959815115
0.183562054,0.954430078
0.178889059,0.949404044
0.176732292,0.943660006
0.172778219,0.935761952
0.170621453,0.927145894
0.16990253,0.919247841
0.168824147,0.905964751
0.168824147,0.894476673
0.169543069,0.88514261
0.169543069,0.87616755
0.172059297,0.855704412
0.171340375,0.865397477
0.170980914,0.846011346
0.171340375,0.835959278
0.171340375,0.815855142
0.172778219,0.80364906
0.173856603,0.792878987
0.173137681,0.775646871
0.174216064,0.767748817
0.176372831,0.759850764
0.175653909,0.754106725
0.176732292,0.741182638
0.179607981,0.73113057
0.184280976,0.722155509
0.186078282,0.714257456
0.18859451,0.706359403
0.190032355,0.696307335
0.192189122,0.684819257
0.192548583,0.675844196
0.192189122,0.666510133
0.190391816,0.657535073
