,time,height
0,9.51999999998,0.24413055896759028
1,9.53999999998,0.24393171787261958
2,9.55999999998,0.24380967736244197
3,9.57999999998,0.24353692650794978
4,9.59999999997,0.24331683635711665
5,9.61999999997,0.24316374182701106
6,9.63999999997,0.24299109697341914
7,9.65999999997,0.2426877093315124
8,9.67999999997,0.24240831255912776
9,9.69999999997,0.24223346233367915
10,9.71999999997,0.2420213890075683
11,9.73999999997,0.24176818847656245
12,9.75999999997,0.24150121927261348
13,9.77999999997,0.24118522524833674
14,9.79999999997,0.24110472917556758
15,9.81999999997,0.24099717259407039
16,9.83999999997,0.2408569228649139
17,9.85999999997,0.24074662446975703
18,9.87999999996,0.24063999176025386
19,9.89999999996,0.2405148816108703
20,9.91999999996,0.24037644982337947
21,9.93999999996,0.24030262947082515
22,9.95999999996,0.240208066701889
23,9.97999999996,0.24009335756301875
24,9.99999999996,0.24000982165336604
25,10.02,0.2399612140655517
26,10.04,0.23990694403648372
27,10.06,0.23986286640167231
28,10.08,0.23982576251029963
29,10.1,0.2397834730148315
30,10.12,0.2397430312633514
31,10.14,0.2397120070457458
32,10.16,0.2396676611900329
33,10.18,0.2396252822875976
34,10.2,0.23957792639732356
35,10.22,0.23953894495964045
36,10.24,0.23950997710227961
37,10.2599999999,0.23946721076965327
38,10.2799999999,0.23943550109863276
39,10.2999999999,0.23943460702896113
40,10.3199999999,0.23943094134330745
41,10.3399999999,0.2393792343139648
42,10.3599999999,0.23935998201370234
43,10.3799999999,0.2393743467330932
44,10.3999999999,0.2393704724311828
45,10.4199999999,0.23935455799102778
46,10.4399999999,0.23925168037414546
47,10.4599999999,0.23927424073219294
48,10.4799999999,0.239238269329071
49,10.4999999999,0.23915631294250483
50,10.5199999999,0.23913610696792598
51,10.5399999999,0.2391013872623443
52,10.5599999999,0.2390362691879272
53,10.5799999999,0.2390168678760528
54,10.5999999999,0.23898038983345027
55,10.6199999999,0.23893556714057917
56,10.6399999999,0.23892829537391658
57,10.6599999999,0.23889876127243037
58,10.6799999999,0.23887912154197688
59,10.6999999999,0.23886201500892634
60,10.7199999999,0.2388308715820312
61,10.7399999999,0.23880002617835994
62,10.7599999999,0.2387756776809692
63,10.7799999999,0.23873162984848018
64,10.7999999999,0.23869506239891047
65,10.8199999999,0.23866752505302424
66,10.8399999999,0.23860553622245784
67,10.8599999999,0.2385782372951507
68,10.8799999999,0.2385700118541717
69,10.8999999999,0.23848897933959956
70,10.9199999999,0.2384505939483642
71,10.9399999999,0.23836905479431147
72,10.9599999999,0.23831293702125544
73,10.9799999999,0.2382657897472381
74,10.9999999999,0.23824418306350703
75,11.0199999999,0.23823330521583552
76,11.0399999999,0.23819301247596736
77,11.0599999999,0.23816902160644526
78,11.0799999999,0.23816452145576472
79,11.0999999999,0.23814675927162166
80,11.1199999999,0.23812989115715022
81,11.1399999999,0.23811874508857722
82,11.1599999999,0.23809755563735957
83,11.1799999999,0.23807624697685237
84,11.1999999999,0.23805890202522273
85,11.2199999999,0.23804742813110347
86,11.2399999999,0.23803079843521113
87,11.2599999999,0.23799396276473994
88,11.2799999999,0.23793289780616755
89,11.2999999999,0.23783037781715388
90,11.3199999999,0.2376416397094726
91,11.3399999999,0.23714060306549067
92,11.3599999999,0.23622313857078547
93,11.3799999999,0.23589045524597163
94,11.3999999999,0.2358479273319244
95,11.4199999999,0.23579422354698176
96,11.4399999999,0.23576489806175227
97,11.4599999999,0.2357292246818542
98,11.4799999999,0.23569465398788447
99,11.4999999999,0.23564920544624324
100,11.5199999999,0.2355901670455932
101,11.5399999999,0.23552948951721187
102,11.5599999999,0.23545662283897395
103,11.5799999999,0.235326178073883
104,11.5999999999,0.23523206233978267
105,11.6199999999,0.23514581441879268
106,11.6399999999,0.23501724720001216
107,11.6599999999,0.2349120151996612
108,11.6799999999,0.2347861003875732
109,11.6999999999,0.2346938025951385
110,11.7199999999,0.2345782589912414
111,11.7399999999,0.2344450426101684
112,11.7599999999,0.23428434848785396
113,11.7799999999,0.2340565991401672
114,11.7999999999,0.2338593971729278
115,11.8199999999,0.2337147963047027
116,11.8399999999,0.23363373398780818
117,11.8599999999,0.23351699829101558
118,11.8799999999,0.23336646676063533
119,11.8999999999,0.23321331262588496
120,11.9199999999,0.23312858462333674
121,11.9399999999,0.23299131512641902
122,11.9599999999,0.2328300547599792
123,11.9799999999,0.23269677877426143
124,11.9999999999,0.23262498497962947
125,12.0199999999,0.23257154941558833
126,12.0399999999,0.23251289844512935
127,12.0599999999,0.23247656941413875
128,12.0799999999,0.23243714094161982
129,12.0999999999,0.2323972058296203
130,12.1199999999,0.23234764456748958
131,12.1399999999,0.23228282451629634
132,12.1599999999,0.23223952174186702
133,12.1799999999,0.2322240543365478
134,12.1999999999,0.2321816456317901
135,12.2199999999,0.23217291355133052
136,12.2399999999,0.23216078400611873
137,12.2599999999,0.232123292684555
138,12.2799999999,0.23210693120956416
139,12.2999999999,0.23208440065383906
140,12.3199999999,0.23205245256423945
141,12.3399999999,0.2320157361030578
142,12.3599999999,0.23198366880416865
143,12.3799999999,0.23194957494735713
144,12.3999999999,0.23191688179969783
145,12.4199999999,0.23190257668495173
146,12.4399999999,0.2318719100952148
147,12.4599999999,0.23184666752815242
148,12.4799999999,0.23180256009101863
149,12.4999999999,0.23178026795387263
150,12.5199999999,0.23176250576972957
151,12.5399999999,0.23172626614570613
152,12.5599999999,0.23170248389244075
153,12.5799999999,0.23168496012687678
154,12.5999999999,0.2316495251655578
155,12.6199999999,0.23158589720726008
156,12.6399999999,0.23155940294265742
