x	Enstrophy P2 - Wang 2021
0.1008	0.6864
0.8408	0.6355
1.6177	0.5972
2.4317	0.5844
3.2087	0.6096
3.9856	0.6222
4.8366	0.6601
5.6876	0.6727
6.5385	0.7106
7.3895	0.7485
8.2774	0.8118
9.1284	0.8625
10.0164	0.9512
10.8673	1.0399
11.7183	1.154
12.4583	1.3189
13.1982	1.4966
13.7902	1.725
14.3082	1.9789
14.6782	2.2582
15.0111	2.5502
15.3441	2.8548
15.6031	3.1469
15.8251	3.4516
16.0471	3.769
16.2321	4.0737
16.4171	4.3911
16.5651	4.6958
16.7131	5.0132
16.9351	5.3179
17.0461	5.6354
17.1571	5.8703
17.305	6.1496
17.342	6.3972
17.5455	6.6575
17.601	6.8797
17.749	7.1971
17.823	7.5145
18.082	7.7938
18.2057	8.1571
18.3572	8.4211
18.4271	8.713
18.563	9.235
18.6369	8.9849
18.6925	9.3683
18.7295	9.5778
18.9885	9.8063
19.155	10.4348
19.303	10.7522
19.8579	12.0727
20.0059	12.3901
20.1169	12.7076
20.1354	12.9425
20.35	13.2722
20.5132	14.0161
20.7812	14.568
21.0492	15.4239
21.2473	15.8078
21.4804	16.2677
21.597	16.5236
21.7718	16.6916
22.0631	16.6715
22.2845	16.6235
22.4127	16.4795
22.5759	16.3635
22.7157	16.1675
22.7623	16.0035
22.8758	15.7733
22.986	15.6171
23.1254	15.413
23.3604	15.2189
23.4852	15.1181
23.676	15.0198
23.8082	14.9492
24.1973	15.0046
24.5497	15.1532
24.7846	15.2816
24.9608	15.3698
25.2177	15.5285
25.3719	15.6393
25.5408	15.7552
25.8418	15.808
26.1354	15.8357
26.4438	15.8079
26.8255	15.833
27.2954	15.8481
27.6551	15.8001
27.868	15.7547
28.2204	15.7924
28.5361	15.8453
28.6755	15.8629
29.094	15.7494
29.2996	15.6663
29.4611	15.578
29.7694	15.4117
30.0704	15.2857
30.1438	15.1193
30.3934	14.9757
30.6284	14.7791
30.9881	14.6102
31.1056	14.4741
31.245	14.391
31.4433	14.275
31.5901	14.1919
31.8103	14.0356
32.0306	13.9373
32.1333	13.8289
32.4197	13.6752
32.5518	13.5567
32.8748	13.4357
33.2713	13.3752
33.9393	13.37
34.6001	13.3371
34.9818	13.2716
35.5912	13.1026
36.0243	12.9614
36.4147	12.8568
37.0067	12.7615
37.4229	12.6979
37.9964	12.4978
38.1999	12.3898
38.5884	12.1834
38.7826	12.0595
39.2081	11.8849
39.6058	11.7737
40.1978	11.6974
40.7898	11.5671
41.2893	11.4654
41.7517	11.4146
41.9645	11.3574
42.2882	11.3224
42.7877	11.1985
43.2224	11.1127
43.6294	11.0301
44.1566	11.0141
44.5544	10.9474
45.1833	10.798
45.6828	10.6773
46.099	10.5884
46.5523	10.5089
47.0703	10.4707
47.6067	10.4357
48.0692	10.3594
48.4762	10.2609
49.0219	10.1465
49.6139	10.0417
50.0671	9.9527
50.8996	9.8668
51.2233	9.9239
51.991	9.892
52.7218	9.8569
53.2027	9.8473
53.582	9.7742
53.9982	9.6726
54.5162	9.5296
54.8677	9.428
55.5614	9.2342
56.2551	9.1134
57.0413	9.0434
57.513	8.9735
58.0125	8.9131
58.6322	8.8082
59.252	8.77
59.8532	8.735
60.5562	8.6999

